id,actor
0,Documental
0, (intervenciones de: Michael Moore
0,George W. Bush
0,George Bush)
1,Jessica Chastain
1,Joel Edgerton
1,Taylor Kinney
1,Kyle Chandler
1,Jennifer Ehle
1,Mark Strong
1,Chris Pratt
1,James Gandolfini
1,Stephen Dillane
1,Mark Duplass
2,Edward Norton
2,Philip Seymour Hoffman
2,Barry Pepper
2,Rosario Dawson
2,Anna Paquin
2,Brian Cox
2,Tony Siragusa
2,Isiah Whitlock Jr.
2,Tony Devon
2,Misha Kuznetsov
3,Documental
4,Christian Clemenson
4,Cheyenne Jackson
4,Ben Sliney
4,Khalid Abdalla
4,Corey Johnson
4,Trish Gates
4,Lewis Alsamari
4,David Alan Basche
4,J. J. Johnson
4,Gary Commock
5,Nicolas Cage
5,Michael Peña
5,Maria Bello
5,Maggie Gyllenhaal
5,Jude Ciccolella
5,Stephen Dorff
5,Armando Riesco
5,Jay Hernandez
5,Michael Shannon
5,Donna Murphy
6,Thomas Horn
6,Tom Hanks
6,Sandra Bullock
6,Max von Sydow
6,Viola Davis
6,Jeffrey Wright
6,John Goodman
6,Zoe Caldwell
6,Adrian Martinez
6,Paul Klementowicz
7,Shahrukh Khan
7,Kajol
7,Christopher B. Duncan
7,Katie A. Keane
7,Benny Nieves
7,Parvin Dabas
7,Arjun Mathur
7,Mackenzie Firgens
7,Natasha Marc
7,Kenton Duty
8,Adam Sandler
8,Don Cheadle
8,Liv Tyler
8,Jada Pinkett Smith
8,Saffron Burrows
8,Donald Sutherland
8,Mike Binder
8,Joey King
8,Robert Klein
8,Melinda Dillon
9,Chris Hemsworth
9,Michael Shannon
9,Navid Negahban
9,Michael Peña
9,Trevante Rhodes
9,Elsa Pataky
9,Numan Acar
9,Austin Stowell
9,Jack Kesy
9,Laith Nakli
10,Documental
10, (intervenciones de: Ernest Borgnine
10,Ken Ogata
10,Tetsurô Tanba
10,Tomorô Taguchi
10,Mitsuko Baisho
10,Kumiko Aso
10,Taleb Adlah
10,Emmanuelle Laborit
10,Vladimir Vega)
11,Jeff Daniels
11,Tahar Rahim
11,Peter Sarsgaard
11,Wrenn Schmidt
11,Michael Stuhlbarg
11,Alec Baldwin
11,Bill Camp
11,Annie Parisse
11,Sullivan Jones
11,Virginia Kull
12,Riz Ahmed
12,Kiefer Sutherland
12,Kate Hudson
12,Liev Schreiber
12,Martin Donovan
12,Om Puri
12,Shabana Azmi
12,Nelsan Ellis
12,Haluk Bilginer
12,Adil Hussain
13,Documental
14,Documental
