id_gen,genero
0,Documental
1,11-S
2,Guerra de Iraq
3,Thriller
4,Acción
5,Drama
6,Terrorismo
7,Basado en hechos reales
8,Película de culto
9,Religión
10,Cine independiente USA
11,Divulgativo/Educativo
12,Aviones
13,Secuestros / Desapariciones
14,Bomberos
15,Infancia
16,Melodrama
17,Romance
18,Drama romántico
19,Enfermedad
20,Discapacidad
21,Racismo
22,Amistad
23,Bélico
24,Guerra de Afganistán
25,Ejército
26,Película de episodios
27,Serie de TV
28,Miniserie de TV
29,Documental sobre Historia
30,Telefilm
31,Cortometraje
32,Política
33,Conflicto árabe-israelí
34,Espionaje
35,Bolsa & Negocios
36,Propaganda
37,Biográfico
38,Animación
39,Cortometraje (animación)
40,Catástrofes
41,Musical
42,Mediometraje
43,Aventuras
44,3-D
45,Titanic
46,Cine épico
47,Ciencia ficción
48,Fantástico
49,Naturaleza
50,Extraterrestres
51,Comedia
52,Infantil
53,Muñecos
54,Pixar
55,Cine familiar
56,Vejez/Madurez
57,Cuentos
58,Secuela
59,Terror
60,Comedia de terror
61,Monstruos
62,Halloween
63,Navidad
64,Stop Motion
65,Animación para adultos
66,Familia
67,Los Simpson
68,Aventura espacial
69,Supervivencia
70,Fantasía medieval
71,Espada y brujería
72,Precuela
73,Superhéroes
74,Cómic
75,Marvel Comics
76,Pandemias
77,Zombis
78,Años 60
79,Años 70
80,Aventuras marinas
81,Animales
82,Magia
83,Young Adult
84,Star Wars
85,Dragones
86,Mitología
87,Intriga
88,Años 30
89,Cine dentro del cine
90,Steampunk
91,II Guerra Mundial
92,Nazismo
93,Piratas
94,Capa y espada
95,Adopción
96,Crimen
97,Robos & Atracos
98,Dinosaurios
99,DC Comics
100,Robots
101,Adolescencia
102,Osos
103,Vikingos
104,Futuro postapocalíptico
105,Simios
106,Spin-off
107,Años 20
108,Videojuego
109,Prehistoria
110,Viajes en el tiempo
111,Colegios & Universidad
112,Comedia negra
113,Abusos sexuales
114,Periodismo
115,Asesinos en serie
116,Homosexualidad
117,Enseñanza
118,Thriller psicológico
119,Internet/Informática
120,Venganza
121,Remake
122,Policíaco
123,Años 90
124,Sectas
125,Acoso escolar/bullying
126,Maternidad
127,Comedia dramática
128,Historias cruzadas
129,Guerra de Vietnam
130,Prostitución
131,Drogas
132,Drama social
133,Siglo XIV
134,Edad Media
135,True Crime
136,Drama judicial / Abogados/as
137,Drama psicológico
138,Gore
139,Caza
140,Años 80
141,Años 40
142,Guerra Civil Española
143,Medicina
144,Sátira
145,Guerra de Bosnia
146,Trabajo/empleo
147,Erótico
148,Feminismo
149,Serie B
150,Deporte
151,Karate
152,Artes marciales
153,Vampiros
154,Sobrenatural
155,Comedia juvenil
156,África
157,Autismo
158,Discapacidad auditiva
159,Manga
160,Años 50
161,Matemáticas
162,Fútbol americano
163,Años 1900 (circa)
164,Vida rural
165,Pobreza
166,Bandas/pandillas callejeras
167,Comedia romántica
168,Baile
169,Alzheimer
170,Música
171,Slasher
172,Sitcom familiar
173,Nouvelle vague
174,Vida rural (Norteamérica)
175,Realismo mágico
176,Cocina
177,Años 1910-1919
178,Baloncesto
179,Bodas
180,Falso documental
181,Trenes/Metros
182,Roedores
183,Road Movie
184,Siglo XIX
185,Inmigración
186,Colonialismo
187,I Guerra Mundial
188,Pesca
189,Ajedrez
190,Guerra Fría
191,Pintura
192,Drama carcelario
193,Mumblecore
194,Serie [Colombo]
195,Cine mudo
196,Orígenes del cine
197,Cine experimental
198,Literatura
199,Surrealismo
200,Documental deportivo
201,Juego
202,Japón feudal
203,Samuráis
204,Alcoholismo
205,Póker
206,Jazz
207,Drama sureño
208,Neo-noir
209,Boxeo
210,Drama de época
211,Sitcom
212,Alpinismo/Escalada
213,Metraje encontrado
214,ETA
215,Esquí
216,Revolución cultural china
217,Holocausto
218,Coronavirus (COVID-19)
219,Documental sobre música
220,América colonial
221,Siglo XVIII
222,Histórico
223,Conquista de América
224,Siglo XVII
225,Siglo XVI
226,Teatro
227,Esclavitud
228,Western
229,Telenovela
230,Amish
231,Bolos
232,Comedia absurda
233,Antigua Roma
234,Mafia
235,Toros
236,Nochevieja / Año nuevo
237,Cine negro
238,Buddy Film
239,Stand-Up
240,Coches/Automovilismo
241,Payasos
242,Cyberpunk
243,Thriller futurista
244,Holocausto nuclear
245,Parodia
246,Claymation (Plastilina)
247,Guerra de Líbano
248,Distopía
249,Brujería
250,Ninjas
251,Marionetas
