,id_peli,titulo,año,pais,tipo,puntuacion,votos,decada
0,536,La marca del Zorro,1920,Estados Unidos,Película,6.57,470,1920
1,544,El último Mohicano,1920,Estados Unidos,Película,6.75,183,1920
2,2749,El gabinete del doctor Caligari,1920,Alemania,Película,8.1,19374,1920
3,2766,El golem,1920,Alemania,Película,7.15,3549,1920
4,5277,Genuine: A Tale of a Vampire,1920,Alemania,Película,6.01,218,1920
5,5281,De la mañana a la medianoche,1920,Alemania,Película,6.81,129,1920
6,5290,Algol: La tragedia del poder,1920,Alemania,Película,6.46,41,1920
7,2744,El chico,1921,Estados Unidos,Película,8.42,31585,1920
8,2774,La carreta fantasma,1921,Suecia,Película,7.88,2969,1920
9,5266,La muerte cansada,1921,Alemania,Película,7.84,2569,1920
10,9230,Las dos huérfanas,1921,Estados Unidos,Película,7.14,571,1920
11,842,La mujer del Faraón,1922,Alemania,Película,6.45,84,1920
12,2450,"Nanuk, el esquimal",1922,Estados Unidos,Película,7.64,7027,1920
13,2746,Nosferatu,1922,Alemania,Película,7.98,29184,1920
14,2769,Häxan: La brujería a través de los tiempos,1922,Dinamarca,Película,7.64,3271,1920
15,2773,"El doctor Mabuse (Dr. Mabuse, el jugador)",1922,Alemania,Película,7.89,2979,1920
16,5275,Phantom (El nuevo Fantomas),1922,Alemania,Película,6.86,333,1920
17,9314,Los estigmatizados,1922,Alemania,Película,6.49,135,1920
18,9923,Robín de los bosques,1922,Estados Unidos,Película,6.73,446,1920
19,10937,Sangre y arena,1922,Estados Unidos,Película,5.69,249,1920
20,789,Las tres edades,1923,Estados Unidos,Película,7.34,1638,1920
21,816,Los diez mandamientos,1923,Estados Unidos,Película,6.87,874,1920
22,2752,El hombre mosca,1923,Estados Unidos,Película,7.72,10519,1920
23,5280,Sombras,1923,Alemania,Película,6.46,139,1920
24,5283,La calle,1923,Alemania,Película,6.61,94,1920
25,5284,El tesoro,1923,Alemania,Película,6.32,87,1920
26,5286,Crimen y castigo (Raskolnikow),1923,Alemania,Película,6.58,67,1920
27,9995,El jorobado de Notre Dame,1923,Estados Unidos,Película,6.79,966,1920
28,2519,Avaricia,1924,Estados Unidos,Película,8.18,3661,1920
29,2758,El moderno Sherlock Holmes,1924,Estados Unidos,Película,8.15,5882,1920
30,2759,El último,1924,Alemania,Película,8.22,5772,1920
31,2767,El navegante,1924,Estados Unidos,Película,7.77,3474,1920
32,2771,El ladrón de Bagdad,1924,Estados Unidos,Película,7.53,3139,1920
33,2854,El que recibe el bofetón,1924,Estados Unidos,Película,7.46,581,1920
34,5135,Los Nibelungos: La muerte de Sigfrido (Los Nibelungos Parte I),1924,Alemania,Película,7.96,1949,1920
35,5138,Los Nibelungos: La venganza de Krimilda (Los Nibelungos Parte II),1924,Alemania,Película,7.82,1543,1920
36,5271,Las manos de Orlac,1924,Alemania,Película,6.75,529,1920
37,5276,El hombre de las figuras de cera,1924,Alemania,Película,6.34,325,1920
38,6146,América,1924,Estados Unidos,Película,6.29,45,1920
39,9016,"Cine-ojo, la vida al imprevisto",1924,Unión Soviética (URSS),Película,7.43,430,1920
