,id_peli,titulo,año,pais,tipo,puntuacion,votos,decada,genero
0,0,Fahrenheit 9/11,2004,Estados Unidos,Película,6.99,69775,2000,Documental
1,0,Fahrenheit 9/11,2004,Estados Unidos,Película,6.99,69775,2000,11-S
2,0,Fahrenheit 9/11,2004,Estados Unidos,Película,6.99,69775,2000,Guerra de Iraq
3,1,La noche más oscura (Zero Dark Thirty),2012,Estados Unidos,Película,6.79,36704,2010,11-S
4,1,La noche más oscura (Zero Dark Thirty),2012,Estados Unidos,Película,6.79,36704,2010,Thriller
5,1,La noche más oscura (Zero Dark Thirty),2012,Estados Unidos,Película,6.79,36704,2010,Acción
6,1,La noche más oscura (Zero Dark Thirty),2012,Estados Unidos,Película,6.79,36704,2010,Drama
7,1,La noche más oscura (Zero Dark Thirty),2012,Estados Unidos,Película,6.79,36704,2010,Terrorismo
8,1,La noche más oscura (Zero Dark Thirty),2012,Estados Unidos,Película,6.79,36704,2010,Basado en hechos reales
9,2,La última noche,2002,Estados Unidos,Película,7.49,33793,2000,11-S
10,2,La última noche,2002,Estados Unidos,Película,7.49,33793,2000,Drama
11,2,La última noche,2002,Estados Unidos,Película,7.49,33793,2000,Película de culto
12,3,Zeitgeist: The Movie,2007,Estados Unidos,Película,7.36,21808,2000,Documental
13,3,Zeitgeist: The Movie,2007,Estados Unidos,Película,7.36,21808,2000,11-S
14,3,Zeitgeist: The Movie,2007,Estados Unidos,Película,7.36,21808,2000,Religión
15,3,Zeitgeist: The Movie,2007,Estados Unidos,Película,7.36,21808,2000,Cine independiente USA
16,3,Zeitgeist: The Movie,2007,Estados Unidos,Película,7.36,21808,2000,Divulgativo/Educativo
17,4,United 93 (Vuelo 93),2006,Estados Unidos,Película,6.7,19146,2000,11-S
18,4,United 93 (Vuelo 93),2006,Estados Unidos,Película,6.7,19146,2000,Drama
19,4,United 93 (Vuelo 93),2006,Estados Unidos,Película,6.7,19146,2000,Terrorismo
20,4,United 93 (Vuelo 93),2006,Estados Unidos,Película,6.7,19146,2000,Basado en hechos reales
21,4,United 93 (Vuelo 93),2006,Estados Unidos,Película,6.7,19146,2000,Aviones
22,4,United 93 (Vuelo 93),2006,Estados Unidos,Película,6.7,19146,2000,Secuestros / Desapariciones
23,5,World Trade Center,2006,Estados Unidos,Película,4.62,15907,2000,11-S
24,5,World Trade Center,2006,Estados Unidos,Película,4.62,15907,2000,Drama
