,decada,actor,puntuacion,numpelis,rankdecada,votos
0,2010,Leonardo DiCaprio,7.21,8,1,0.0
1,2010,Tom Hardy,6.77,11,2,0.0
2,2010,Christian Bale,6.76,8,3,0.0
3,2010,Benedict Cumberbatch,6.71,13,4,0.0
4,2010,John Hawkes,6.67,6,5,0.0
5,2010,Sarah Paulson,6.64,6,6,0.0
6,2010,Robin Wright,6.6,7,7,0.0
7,2010,Ricardo Darín,6.59,6,8,0.0
8,2010,Bruce Dern,6.59,6,8,0.0
9,2010,Mark Ruffalo,6.57,13,9,0.0
10,2010,Chris Evans,6.57,12,9,0.0
11,2010,Kyle Chandler,6.56,10,10,0.0
12,2000,Elijah Wood,7.28,9,1,0.0
13,2000,Ricardo Darín,7.19,6,2,0.0
14,2000,Russell Crowe,7.16,8,3,0.0
15,2000,Andy Serkis,7.07,6,4,0.0
16,2000,Ian McKellen,6.96,7,5,0.0
17,2000,Manuel Morón,6.94,6,6,0.0
18,2000,Lucy Liu,6.91,6,7,0.0
19,2000,Cara Seymour,6.9,6,8,0.0
20,2000,Orlando Bloom,6.88,9,9,0.0
21,2000,Kate Winslet,6.84,10,10,0.0
22,1990,Sean Penn,7.2,6,1,0.0
23,1990,Kevin Spacey,7.17,9,2,0.0
24,1990,Al Pacino,7.1,10,3,0.0
25,1990,John Turturro,7.05,9,4,0.0
26,1990,Robert De Niro,6.98,14,5,0.0
27,1990,Brad Pitt,6.98,13,5,0.0
28,1990,Johnny Depp,6.97,8,6,0.0
29,1990,Chete Lera,6.96,6,7,0.0
30,1990,Juliette Lewis,6.89,6,8,0.0
31,1990,Giancarlo Esposito,6.87,6,9,0.0
32,1990,Matt Damon,6.83,8,10,0.0
33,1980,Harrison Ford,7.56,8,1,0.0
34,1980,Robert De Niro,7.2,9,2,0.0
35,1980,Mia Farrow,6.92,6,3,0.0
36,1980,Bob Hoskins,6.91,6,4,0.0
37,1980,Sean Connery,6.87,8,5,0.0
38,1980,Max von Sydow,6.78,6,6,0.0
39,1980,Jack Nicholson,6.74,9,7,0.0
40,1980,John Cleese,6.67,6,8,0.0
41,1980,Agustín González,6.65,9,9,0.0
42,1980,Willem Dafoe,6.62,7,10,0.0
43,1970,Diane Keaton,7.87,8,1,0.0
44,1970,Robert De Niro,7.56,7,2,0.0
45,1970,Robert Duvall,7.55,7,3,0.0
46,1970,Woody Allen,7.52,6,4,0.0
47,1970,Donald Sutherland,6.9,7,5,0.0
48,1970,Faye Dunaway,6.71,6,6,0.0
49,1970,Sean Connery,6.7,8,7,0.0
50,1970,Michael Caine,6.69,6,8,0.0
51,1970,Clint Eastwood,6.67,8,9,0.0
52,1970,Fernando Rey,6.36,7,10,0.0
53,1960,Tatsuya Nakadai,7.92,6,1,0.0
54,1960,Burt Lancaster,7.68,7,2,0.0
55,1960,Kei Sato,7.67,6,3,0.0
56,1960,Takashi Shimura,7.59,6,4,0.0
57,1960,Jeanne Moreau,7.46,8,5,0.0
58,1960,Paul Newman,7.43,7,6,0.0
59,1960,Toshirô Mifune,7.34,8,7,0.0
60,1960,Claudia Cardinale,7.31,8,8,0.0
61,1960,Charles Bronson,7.29,6,9,0.0
