id,direccion
0,Michael Moore
1,Kathryn Bigelow
2,Spike Lee
3,Peter Joseph
4,Paul Greengrass
5,Oliver Stone
6,Stephen Daldry
7,Karan Johar
8,Mike Binder
9,Nicolai Fuglsig
10,Samira Makhmalbaf
10,Claude Lelouch
10,Youssef Chahine
11,Dan Futterman
11,Alex Gibney
11,Lawrence Wright 
12,Mira Nair
13,Dylan Avery
14,Nicole Rittenmeyer
14,Seth Skundrick
15,Peter Markle
16,Jonas Mekas
17,James Hanlon
17,Rob Klug
17,Gédéon Naudet
18,Greg Barker
19,Austin Chick
20,David L. Cunningham
21,Amy Schatz
22,Robert Dornhelm
23,Eusong Lee
24,Martin Guigui
25,Richard Dale
26,Cruz Ángeles
27,Daniel Sackheim
28,Dylan Avery
29,Neil Rawles
30,Helmut Metzger
31,Jim Simpson
32,David Heinz
33,Massimo Mazzucco
34,Carsten Oblaender
35,Dylan Avery
36,Alex Chapple
37,Henry Singer
38,Steve Humphries
39,James Cameron
40,James Cameron
41,John Lasseter
42,Pete Docter
42,Bob Peterson
43,Gary Trousdale
43,Kirk Wise
44,Lee Unkrich
45,John Lasseter
45,Ash Brannon
45,Lee Unkrich
46,Henry Selick
47,David Silverman
48,Alfonso Cuarón
49,Peter Jackson
50,Joss Whedon
51,Tim Burton
52,Pete Docter
52,Ronaldo Del Carmen
53,Marc Forster
54,Ang Lee
55,David Yates
56,Ridley Scott
57,J.J. Abrams
58,Peter Jackson
59,Kenneth Branagh
60,Martin Scorsese
61,James Gunn
62,Joe Johnston
63,Rob Marshall
64,Pierre Coffin
64,Chris Renaud
65,Colin Trevorrow
66,Zack Snyder
67,Steven Spielberg
68,Henry Selick
69,Shane Black
70,Marc Webb
71,Mark Andrews
71,Brenda Chapman
71,Steve Purcell
72,Dean DeBlois
72,Chris Sanders
73,Peter Jackson
74,Chris Buck
74,Jennifer Lee
75,Matt Reeves
76,Joss Whedon
77,Gareth Edwards
78,Baz Luhrmann
79,Rich Moore
80,Carlos Saldanha
80,Mike Thurmeier
81,Anthony Russo
81,Joe Russo
82,Doug Liman
83,Robert Stromberg
84,Dan Scanlon 
85,Anthony Russo
85,Joe Russo
86,Alan Taylor
87,Pierre Coffin
87,Chris Renaud
88,Nathan Greno
88,Byron Howard
89,Martin McDonagh
90,Tom McCarthy
91,Niels Arden Oplev
92,Pedro Almodóvar
93,David Slade
94,David Fincher
95,Thomas Vinterberg
96,Gaspar Noé
97,Alejandro Amenábar
98,John Patrick Shanley
99,David E. Kelley
99,Jean-Marc Vallée
99,Andrea Arnold
100,Todd Solondz
101,Paul Verhoeven
102,Brian De Palma
103,Todd Field
104,Lukas Moodysson
105,Pablo Larraín
106,Ingmar Bergman
107,Destin Cretton
108,Jay Roach
109,Susannah Grant
109,Michael Chabon
109,Ayelet Waldman
110,Andrew Jarecki
111,Jonathan Kaplan
112,Montxo Armendáriz
113,Gregg Araki
114,Nicole Kassell
115,Coralie Fargeat
116,Chris Gerolmo
117,Aisling Walsh
118,Steven R. Monroe
119,Wes Craven
120,Anne Fontaine
121,Brian De Palma
122,Lisa Bryant
123,David Schwimmer
124,Larysa Kondracki
125,Kitty Green
126,Virginie Despentes
126,Coralie Trinh Thi
127,Santiago Mitre
128,Dan Reed
129,Agustí Villaronga
130,Tetsuya Nakashima
131,Dick Wolf
131,David Platt
131,Peter Leto
132,Maribel Sánchez-Maroto
133,Baran bo Odar
134,François Ozon
135,Michaela Coel
136,Christian Duguay
137,Ryan White
138,Meir Zarchi
139,John G. Avildsen
140,Tomas Alfredson
141,Brian De Palma
142,J.A. Bayona
143,Lee Daniels
144,Barry Jenkins
145,Brian Yorkey
145,Tom McCarthy
145,Kyle Patrick Alvarez
146,Mark Waters
147,Stephen Chbosky
148,Susanne Bier
149,Matt Reeves
150,Kimberly Peirce
151,Paul Feig
151,Jake Kasdan
151,Judd Apatow
152,Todd Solondz
153,Nic Balthazar
154,José Corbacho
154,Juan Cruz
155,Naoko Yamada
156,Andy Fickman
157,Steven Brill
158,Ilmar Raag
159,Mikael Håfström
160,Brian Yorkey
160,Michael Morris
160,Jessica Yu
161,Michel Franco
162,Miroslav Slaboshpitsky
163,Zoe Berriatúa
164,Brian Dannelly
165,Melanie Mayron
166,David Ilundain
167,Reza Parsa
168,Brian Yorkey
168,Russell Mulcahy
168,Michael Sucsy
169,John Ridley
169,John Ridley
169,Clement Virgo
170,Saverio Costanzo
171,Murali K. Thalluri
172,Nick Willing
173,Josetxo San Mateo
174,Lauren Gussis
174,Andrew Fleming
174,Maggie Kiley
175,David Seltzer
176,Bonni Cohen
176,Jon Shenk
177,Volker Schlöndorff
178,Anna Odell
179,
180,Jannicke Systad Jacobsen
181,Shunji Iwai
182,Jacob Estes
183,Yeon Sang-ho
184,Joey Stewart
185,Charles Binamé
186,Guillermo Ríos
187,Ben Chanan
188,Robert Zemeckis
189,Fernando Meirelles
189,Kátia Lund
190,Paul Weitz
190,Chris Weitz
191,Jason Reitman
192,Randal Kleiser
193,David Fincher
194,Nick Cassavetes
195,Dennis Gansel
196,Emile Ardolino
197,Jim Gillespie
198,Linwood Boomer
198,Todd Holland
198,Jeffrey Melman
199,Richard Donner
200,J.J. Abrams
201,Kevin Smith
202,Neal Marlens
202,Carol Black
202,Carol Black
203,Alfred Gough
203,Miles Millar
203,James Marshall
204,Richard Linklater
205,Gus Van Sant
206,Edgar Wright
207,Darren Star
207,Daniel Attias
207,Chip Chalmers
208,Barry Levinson
209,Achero Mañas
210,Wes Anderson
211,Abdellatif Kechiche
212,Stephen Chbosky
213,Kevin Williamson
213,Gregory Prange
213,David Semel
214,Greg Mottola
215,Randal Kleiser
216,J.B. Rogers
217,Sofia Coppola
218,Josh Schwartz
218,Ian Toynton
218,Michael Lange
219,Shane Meadows
220,François Truffaut
221,Bernardo Bertolucci
222,Rob Reiner
223,Alfonso Arau
224,Jon Watts
225,Fernando León de Aranoa
226,Amy Sherman-Palladino
226,Jamie Babbit
226,Chris Long
227,Masayuki Hayashi
227,Seitarô Hara
228,Jesse Dylan
229,Nima Nourizadeh
230,Adam Shankman
231,Howard Overman
231,Tom Green
231,Jonathan van Tulleken
232,Makoto Shinkai
233,Lasse Hallström
234,Isao Takahata
234,Atsuji Hayakawa
234,Yoshio Kuroda
235,John Lee Hancock
236,Jaume Collet-Serra
237,Garth Davis
238,Dennis Dugan
239,Rob Minkoff
240,Joel Coen
241,Carla Simón
242,Mike Leigh
243,Stephen Frears
244,Leonard Nimoy
245,Jean-Pierre Dardenne
245,Luc Dardenne
246,Mark Steven Johnson
247,Rob Minkoff
248,Jean-Pierre Dardenne
248,Luc Dardenne
249,Nick Hamm
250,Stephen J. Anderson
251,Claude Barras
252,Patricia Ferreira
253,Coline Serreau
254,Rodrigo García
255,Menno Meyjes
256,Sean Anders
257,Mike Flanagan
258,Stu Silver
258,Lee Bernhardi
258,Joel Zwick
259,Moira Walley-Beckett
259,Niki Caro
259,David Evans
260,Radu Mihaileanu
261,Hiroshi Shidara
262,Tamara Jenkins
263,Benedikt Erlingsson
264,Kevin Sullivan
265,Antonio Chavarrías
266,Pablo Larraín
267,David Planell
268,José Luis Garci
269,Will Gluck
270,Belén Macías
271,Jeff Harris
271,Bernie Kukoff
271,Gerren Keith
272,George Stevens
273,Rod Hardy
274,María Ripoll
275,Paul Weitz
276,Daniela Féjerman
277,Craig McCracken
277,Lauren Faust
277,Mike Moon
278,David O. Russell
279,Bertrand Tavernier
280,Jake Scott
281,Rob Minkoff
281,Roger Allers
282,Michael Curtiz
283,Steve Oedekerk
284,Edward Zwick
285,Anthony Minghella
286,Sydney Pollack
287,Ridley Scott
288,Fernando Meirelles
289,Paul Greengrass
290,Terry George
291,Eric Darnell
291,Tom McGrath
292,Kevin Lima
292,Chris Buck
293,John Huston
294,Kevin Macdonald
295,Ryan Coogler
296,John Landis
297,Jon Favreau
298,Antoine Fuqua
299,Eric Darnell
299,Tom McGrath
300,Cary Joji Fukunaga
301,Fernando González Molina
302,Darrell Rooney
302,Rob LaDuca
303,Michael Apted
304,Frank Marshall
305,Lewis Teague
306,Jamie Uys
307,Steven Knight
307,Kristoffer Nyholm
307,Anders Engström
308,John Ford
309,Michael Bay
310,Salvador Calvo
311,Clint Eastwood
312,Martin Campbell
313,Paul Michael Glaser
314,Stephen Hopkins
315,Hugh Hudson
316,Hubert Sauper
317,Frank Coraci
318,Bradley Raymond
319,Howard Hawks
320,Chiwetel Ejiofor
321,Hermine Huntgeburth
322,Abderrahmane Sissako
323,Marc Forster
324,J. Lee Thompson
325,Michel Ocelot
326,Bernardo Bertolucci
327,Brad Neave
327,Tony Craig
327,Roberts Gannaway
328,Justin Chadwick
329,Norberto López Amado
330,Ingmar Bergman
331,Scott Frank
331,Allan Scott
331,Scott Frank
332,John McTiernan
333,Jan Pinkava
334,Steven Zaillian
335,Edward Zwick
336,Carl Schenkel
337,Jim McBride
338,Jesús Monllaó
339,Norman Jewison
340,Boaz Yakin
341,Marleen Gorris
342,Luis Oliveros
343,Mira Nair
344,Atsuko Ishizuka
344,Takashi Ikehata
344,Akira Shimizu
345,Lukasz Kosmicki
346,Satyajit Ray
347,Laurence Malkin
348,Greg Kohs
349,Liz Garbus
350,Andrew Bujalski
351,Richard Dembo
352,Caroline Bottaro
353,Alberto Lecchi
354,Pierre-François Martin-Laval
355,Edward M. Abroms
356,Vsevolod Pudovkin
356,Nikolai Shpikovsky
357,Éric Tessier
358,Avrum Jacobson
358,David Frazee
358,Anne Wheeler
359,James Napier Robertson
360,Robert W. Paul
361,Wolfgang Petersen
362,Gerd Oswald
363,Cristóbal Vila
364,Vikram Jayanti
365,J. Lee Thompson
366,Jake Goldberger
367,John Leguizamo
368,Juan Luis Buñuel
369,Andrew van den Houten
370,José Larraza
371,Manuel Herrera
372,Allen Hughes
373,Àlex Lora
374,David Díaz
375,Benjamin Ree
376,Lluís Josep Comerón
377,Kenji Misumi
378,Katie Dellamaggiore
379,Natalia Santa
380,Mike Figgis
381,Robert Zemeckis
382,Bradley Cooper
383,Tom Kapinos
383,Stephen Hopkins
383,Scott Winant
384,Benito Zambrano
385,Wong Kar-Wai
386,Paul Thomas Anderson
387,Blake Edwards
388,Paul Abbott
388,Mark Mylod
388,Mimi Leder
389,Scott Cooper
390,Tate Taylor
391,Nacho Vigalondo
392,Sidney Lumet
393,Clint Eastwood
394,Billy Wilder
395,Betty Thomas
396,James Ponsoldt
397,Luis Mandoki
398,Douglas Sirk
399,Clint Eastwood
400,Terry Zwigoff
401,John Huston
402,Harold Becker
403,Bent Hamer
404,Marielle Heller
405,Thomas Vinterberg
406,David Gordon Green
407,Leos Carax
408,Thomas Vinterberg
409,John Huston
410,Louis Malle
411,Barbet Schroeder
412,Julian Jarrold
413,Alex Kurtzman
414,Gavin O'Connor
415,Ignacio Vilar
416,Eddie Gorodetsky
416,Chuck Lorre
416,James Widdoes
417,Charles Sturridge
417,Michael Lindsay-Hogg
418,Gus Van Sant
419,Lee Tamahori
420,Fatih Akin
421,Bertrand Tavernier
422,Shana Feste
423,Edward Berger
424,James Ponsoldt
425,John Huston
426,Akira Kurosawa
427,Ted Kotcheff
428,Steve Buscemi
429,Érick Zonca
430,Danny Boyle
431,Baltasar Kormákur
432,Renny Harlin
433,Neil Marshall
434,Martin Campbell
435,Jimmy Chin
435,Elizabeth Chai Vasarhelyi
436,Kevin Macdonald
437,Clint Eastwood
438,Abel Ferry
439,Renny Harlin
440,Ludovic Bernard
441,Josh Lowell
441,Peter Mortimer
442,Julian Gilbey
443,Pablo Iraburu
443,Migueltxo Molina
444,Jimmy Chin
444,Elizabeth Chai Vasarhelyi
445,Nick Rosen
445,Peter Mortimer
446,Jaume Martí
446,Josep Serra
447,Werner Herzog
448,Jennifer Peedom
449,Philipp Stölzl
450,Franc Roddam
451,Edward Dmytryk
452,Joseph Vilsmaier
453,Louise Osmond
454,Fred Zinnemann
455,Sébastien Montaz-Rosset
456,Sebastián Alvaro
456,Antonio Perezgrueso
456,Carmen Portilla
457,Werner Herzog
458,Sébastien Montaz-Rosset
459,Pablo Iraburu
459,Jaime Murciego
460,Remy Tezier
461,Anthony Geffen
462,Nick Ryan
463,Eric Crosland
463,Dave Mossop
464,Ted Tetzlaff
465,Steven James Creazzo
466,Gonzalo Visedo
466,Daniel Strömbeck
467,Jim Wynorski
468,Mark Roper
469,David Breashears
469,Stephen Judson
469,Greg MacGillivray
470,Rex Piano
471,Jennifer Peedom
472,Graeme Campbell
473,Jérôme Tanon
474,Jordi Varela
475,Lucy Walker
476,Eliza Kubarska
477,Lee Sang-geun
478,Georg Wilhelm Pabst
478,Arnold Fanck
479,Hartmut Griesmayr
480,Juan José Campanella
481,Asghar Farhadi
482,Ignacio Ferreras
483,Richard Glatzer
483,Wash Westmoreland
484,Florian Zeller
485,María Ripoll
486,Richard Eyre
487,Sarah Polley
488,Zhang Yimou
489,Lee Chang-Dong
490,Carles Bosch
491,Atom Egoyan
492,Antonio Mercero
493,Erik Van Looy
494,Michael McGowan
495,Won Shin-yun
496,Yesim Ustaoglu
497,Claude Lelouch
498,Kirsten Johnson
499,Bruno Collet
500,Albert Solé
501,Freddy Mas Franqueza
502,Elizabeth Chomko
503,Seth Rogen
504,Jordi García
505,Paul Abbott
505,John Alexander
506,Harry Macqueen
507,Zabou Breitman
508,Martín Rosete
509,Charlie Russell
510,Jesús Ponce
511,Xacio Baño
512,Carla Subirana
513,Sara Laubscher
513,Saira George
514,Wang Bing
515,Francesco Bruni
516,Lluís María Güell
517,María Novaro
518,Fridrik Thor Fridriksson
519,David S. Cass Sr.
520,Pupi Avati
521,Maite García Ribot
522,Denis Bardiau
523,James Keach
524,Til Schweiger
525,Bille August
526,Fernando Osuna Mascaró
527,Fran Casanova
528,Nicolas Boukhrief
529,Michael Mann
530,Roland Joffé
531,Terrence Malick
532,Rouben Mamoulian
533,Amaya Muruzabal
533,Norberto López Amado
533,Julián de Tavira
534,Hollingsworth Morse
534,Charles Barton
534,Norman Foster
535,Jean Renoir
536,Fred Niblo
537,Tomás Gutiérrez Alea
538,Henry King
539,Nicolás Echevarría
540,Matt Codd
541,Robert Dornhelm
541,Simon Wincer
541,Sergio Mimica-Gezzan
542,Bruce Beresford
543,María Luisa Bemberg
544,Clarence Brown
544,Maurice Tourneur
545,Samuel Donovan
545,Paul Wilmshurst
545,John Alexander
546,George B. Seitz
547,Luis Alberto Lamata
548,Niles Atallah
549,Fernando González Sitges
550,Hugo del Carril
551,Nicolás Acuña
552,Douglas Hickox
553,Mónica Miguel
554,Jorge Alí Triana
555,Peter Weir
556,Peter Farrelly
556,Bobby Farrelly
557,Bryan Spicer
558,Richard Fleischer
559,Randa Haines
560,Stephen Gyllenhaal
561,Michael Landon Jr.
562,Michael Landon Jr.
563,Terry Cunningham
564,Richard Gabai
565,Gregg Champion
566,Werner Herzog
567,Paul Shapiro
568,David Mackay
569,Terry Cunningham
570,William Friedkin
571,Frank Darabont
572,Steven Spielberg
573,Clint Eastwood
574,David Crane
574,Marta Kauffman
574,Gary Halvorson
575,Danny Boyle
575,Loveleen Tandan
576,Peter Farrelly
576,Bobby Farrelly
577,Olivier Nakache
577,Eric Toledano
578,Gus Van Sant
579,Chuck Lorre
579,Bill Prady
579,Mark Cendrowski
580,Carter Bays
580,Craig Thomas
580,Pamela Fryman
581,Kevin Costner
582,Trey Parker
582,Matt Stone
582,Trey Parker
583,P.J. Hogan
584,Nacho G. Velilla
584,Ricardo A. Solla
584,Arantxa Écija
585,William Wyler
586,Mark Herman
587,Taylor Hackford
588,Sergio Leone
589,Jon Avnet
590,Darren Star
590,Michael Patrick King
590,Allen Coulter
591,Pedro Almodóvar
592,Tate Taylor
593,Rob Reiner
594,Michael Cimino
595,Daniel Sánchez Arévalo
596,Carol Reed
597,Peter Farrelly
598,Ridley Scott
599,Jerry Seinfeld
599,Larry David
599,Andy Ackerman
600,Ron Howard
601,Bruce Beresford
602,George Roy Hill
603,Alfonso Cuarón
604,Álex de la Iglesia
605,John Badham
606,John Schlesinger
607,Andy Muschietti
608,Martin Scorsese
609,Joshua Brand
609,John Falsey
609,Michael Fresco
610,Akira Kurosawa
611,Matt Groening
611,Sam Simon
611,James L. Brooks
612,Seth MacFarlane
612,Peter Shin
612,Pete Michels
613,Hayao Miyazaki
614,Katsuhiro Ōtomo
615,Seth MacFarlane
615,Mike Barker
615,Matt Weitzman
616,Marjane Satrapi
616,Vincent Paronnaud
617,Tetsurō Araki
618,Isao Takahata
619,Mamoru Oshii
620,Dan Harmon
620,Justin Roiland
620,Pete Michels
621,Trey Parker
622,Adam Elliot
623,Ari Folman
624,Conrad Vernon
624,Greg Tiernan
625,Richard Linklater
626,Hideaki Anno
627,Hironobu Sakaguchi
627,Motonori Sakakibara
628,Satoshi Kon
629,Satoshi Kon
630,Seiji Mizushima
630,Norimitsu Suzuki
630,Masahiro Andô
631,Yoshiaki Kawajiri
632,Fernando Trueba
632,Javier Mariscal
632,Tono Errando
633,Mike Judge
633,Yvette Kaplan
634,Charlie Kaufman
634,Duke Johnson
635,Trey Parker
635,Matt Stone
636,Tim Miller
636,Dave Wilson
636,Víctor Maldonado
637,Yasuhiro Irie
637,Hiroshi Iketomi
637,Kazuo Miyake
638,Raphael Bob-Waksberg
638,JC Gonzalez
638,Amy Winfrey
639,Richard Linklater
640,Kubo Tite
640,Noriyuki Abe
641,Lynn Okamoto
641,Mamoru Kanbe
642,Jay Oliva
643,Masayuki Kojima
644,Mamoru Oshii
645,Jimmy T. Murakami
646,Jérémy Clapin
647,Hideaki Anno
647,Kazuya Tsurumaki
648,Jay Oliva
649,Shin'ichirō Watanabe
650,Seth MacFarlane
650,Mike Henry
650,Richard Appel
651,Mike Judge
652,Nick Kroll
652,Andrew Goldberg
652,Jennifer Flackett
653,Satoshi Kon
653,Satoshi Kon
653,Takuji Endo
654,Ari Folman
655,Satoshi Kon
656,Kazuhiro Furuhashi
657,René Laloux
658,Steven Spielberg
659,Chris Wedge
659,Carlos Saldanha
660,Wolfgang Reitherman
660,Clyde Geronimi
660,Hamilton Luske
661,Betty Thomas
662,David Hand
663,Peter Jackson
664,Peter Faiman
665,Alfred Hitchcock
666,Carlos Saldanha
667,Seth MacFarlane
668,Tom Shadyac
669,Nick Park
669,Peter Lord
670,Chris Noonan
671,Byron Howard
671,Rich Moore
671,Jared Bush
672,Steven Spielberg
673,Darren Aronofsky
674,Jon Favreau
675,Sam Weisman
676,Lasse Hallström
677,Luis Llosa
678,Cruz Delgado
679,Steve Martino
679,Mike Thurmeier
680,Renny Harlin
681,Joe Johnston
682,W.S. Van Dyke
683,Chris Renaud
683,Yarrow Cheney
684,Brian Levant
685,Simon Wincer
686,Tom Shadyac
687,Stephen Herek
688,Luc Jacquet
689,Alastair Fothergill
690,Alastair Fothergill
690,Mark Linfield
691,Félix Rodríguez de la Fuente
692,Robert Redford
693,Carlos Saldanha
694,David Frankel
695,Jean-Jacques Annaud
696,Peter Hajek
696,Peter Moser
696,Hans Werner
697,Joe Carnahan
698,Gary Ross
699,Zack Snyder
700,Wolfgang Petersen
701,Oliver Stone
702,John Musker
702,Ron Clements
703,Noam Murro
704,Louis Leterrier
705,Jason Friedberg
705,Aaron Seltzer
706,John Schulian
706,Rob Tapert
706,Sam Raimi
707,Tarsem Singh
708,Jonathan Liebesman
709,Christian Williams
709,Bruce Campbell
709,Charlie Haskell
710,Brett Ratner
711,Desmond Davis
712,Don Chaffey
713,Renny Harlin
714,Phil Weinstein
715,Andrew Dettmann
715,Rob Tapert
715,Daniel Truly
716,Francesc Bellmunt
717,Andrei Konchalovsky
718,Mario Camerini
719,Pier Paolo Pasolini
720,John Kent Harrison
721,Roger Young
722,Sergio Leone
723,Rudolph Maté
724,Pier Paolo Pasolini
725,Nick Willing
726,Robert Rossen
727,Roswitha Haas
728,T.J. Scott
729,Bob Kline
730,Robert Wise
731,David Farr
731,Owen Harris
731,Mark Brozel
732,Jeff Kanew
733,Nicole Van Goethem
734,Roberto Rossellini
735,David Garfath
735,John Madden
735,Tony Smith
736,David Padrusch
737,Jacques Tourneur
737,Mario Bava
738,Mihalis Kakogiannis
739,Mihalis Kakogiannis
740,Pietro Francisci
741,Mihalis Kakogiannis
742,Franco Piavoli
743,Danièle Huillet
743,Jean-Marie Straub
744,Pietro Francisci
745,Giorgio Ferroni
746,Lynne Naylor
747,George Pal
748,Takao Yotsuji
749,Ridley Scott
750,Stanley Kubrick
751,Alejandro Amenábar
752,René Goscinny
752,Albert Uderzo
752,Pierre Watrin
753,John Milius
753,William J. MacDonald
753,Bruno Heller
754,Claude Zidi
755,Steven S. DeKnight
755,Rick Jacobson
755,Michael Hurst
756,Antoine Fuqua
757,Steven S. DeKnight
757,Rick Jacobson
758,Neil Marshall
759,Paul W.S. Anderson
760,Mervyn LeRoy
761,Kevin Macdonald
762,Doug Lefler
763,Steven S. DeKnight
763,Rick Jacobson
764,Joseph L. Mankiewicz
765,Herbert Wise
766,Steven S. DeKnight
766,Michael Hurst
766,Rick Jacobson
767,Ray Goossens
768,Julie Taymor
769,Thomas Langmann
769,Frédéric Forestier
770,Tinto Brass
771,Joseph L. Mankiewicz
772,Mel Brooks
773,Philippe Grimond
774,Timur Bekmambetov
775,Fred Niblo
776,Jacques Dorfmann
777,Carlos Sedes
777,Alberto Rodríguez
777,Santi Amodeo
778,Kevin Reynolds
779,Richard Lester
780,Anthony Mann
781,Alexandre Astier
781,Louis Clichy
782,Henry Koster
783,Federico Fellini
784,Richard Fleischer
785,Laurent Tirard
786,Dick Lowry
787,Alexandre Astier
787,Louis Clichy
788,Juan Maidagán
788,Pepón Montero
788,Nacho Vigalondo
789,Buster Keaton
789,Edward F. Cline
790,Barbara Eder
790,Stephen St. Leger
791,Robert Dornhelm
792,Daniel Lee
793,Jez Butterworth
793,Tom Butterworth 
793,James Richardson
794,Javier Fesser
795,Richard Lopez
796,Douglas Sirk
797,Delmer Daves
798,Simon Wells
798,Steve Hickner
798,Brenda Chapman
799,Stephen Sommers
800,Stephen Sommers
801,Ridley Scott
802,Chuck Russell
803,Cecil B. DeMille
804,Alain Chabat
805,Alex Kurtzman
806,René Goscinny
806,Albert Uderzo
807,Alex Proyas
808,Karl Freund
809,Russell Mulcahy
810,Howard Hawks
811,Russell Mulcahy
812,Michael Curtiz
813,Jerzy Kawalerowicz
814,Terence Fisher
815,Russell Mulcahy
816,Cecil B. DeMille
817,David Von Ancken
818,Cecil B. DeMille
819,Charlton Heston
820,Georges Méliès
821,Gabriel Pascal
822,James Tovell
823,Kenneth Anger
824,Franc Roddam
825,Mike Elliott
826,John Singleton
827,Robert Dornhelm
828,Wilfred Jackson
829,Patrice Pooyard
830,Simcha Jacobovici
831,Seth Holt
831,Michael Carreras
832,Ernst Lubitsch
833,Georges Méliès
834,Fernando Cerchio
835,Don Michael Paul
836,Mathew Cullen
837,Georges Hatot
837,Louis Lumière
838,Corentin Charron
838,Lise Corriol
838,Olivier Lafay
839,John Rawlins
840,Rob Petrie
841,Osamu Tezuka
841,Eiichi Yamamoto
842,Ernst Lubitsch
843,Nina Paley
844,Bill Boyce
844,John Stronach
845,John Brahm
846,Baz Luhrmann
847,Neil Burger
848,Robert Stevenson
849,Marc Forster
850,Charles Chaplin
851,David Cronenberg
852,Steven Spielberg
853,Bernardo Bertolucci
854,Ingmar Bergman
855,Nicholas Ray
856,Hayao Miyazaki
856,Kyosuke Mikuriya
856,Keiji Hayakawa
857,James Gray
858,Salvador Calvo
859,Jack Amiel
859,Michael Begler
859,Steven Soderbergh
860,Max Ophüls
861,Ronny Yu
862,Werner Herzog
863,John Huston
864,Norman Jewison
865,Vincente Minnelli
866,Orson Welles
867,Bill Condon
868,Roman Polanski
869,Bille August
870,Gareth Evans
871,Akiva Goldsman
872,Peter Weir
873,André De Toth
874,Lo Wei
875,Michael Spierig
875,Peter Spierig 	
875,The Spierig Brothers 
876,Barbra Streisand
877,Jacques Becker
878,Ramón Campos 
878,Gema R. Neira
878,Silvia Quer
879,Isabel Coixet
880,Charlie Bean
881,John Milius
882,Ingmar Bergman
883,Bill Bain
883,Christopher Hodson
883,Raymond Menmuir
884,Milos Forman
885,Bertrand Bonello
886,Joseph Losey
887,Max Ophüls
888,Eugenio Martín
889,Roschdy Zem
890,James Ivory
891,François Truffaut
892,Francis Ford Coppola
