id_peli,titulo,año,pais,tipo,puntuacion,votos
0,Fahrenheit 9/11,2004,Estados Unidos,Película,6.99,69775
1,La noche más oscura (Zero Dark Thirty),2012,Estados Unidos,Película,6.79,36704
2,La última noche,2002,Estados Unidos,Película,7.49,33793
3,Zeitgeist: The Movie,2007,Estados Unidos,Película,7.36,21808
4,United 93 (Vuelo 93),2006,Estados Unidos,Película,6.7,19146
5,World Trade Center,2006,Estados Unidos,Película,4.62,15907
6,"Tan fuerte, tan cerca",2011,Estados Unidos,Película,5.87,8830
7,Mi nombre es Khan,2010,India,Película,7.01,6826
8,En algún lugar de la memoria,2007,Estados Unidos,Película,6.47,5371
9,12 valientes,2018,Estados Unidos,Película,5.44,4290
10,11'09''01 - 11 de septiembre,2002,Francia,Película,6.56,2967
11,The Looming Tower (Miniserie de TV),2018,Estados Unidos,Miniserie de TV,7.15,1369
12,El fundamentalista reticente,2012,Estados Unidos,Película,6.06,909
13,Loose Change: Second Edition,2006,Estados Unidos,Película,7.1,649
14,102 minutos que cambiaron América,2008,Estados Unidos,Película,7.11,558
15,Flight 93 (TV),2006,Estados Unidos,TV,5.58,549
16,WTC Haikus (C),2010,Estados Unidos,Cortometraje,6.64,343
17,9/11 (TV),2002,Estados Unidos,TV,7.13,308
18,A la caza de Bin Laden (TV),2012,Estados Unidos,TV,5.98,223
19,August,2008,Estados Unidos,Película,5.12,201
20,11S: El origen (Miniserie de TV),2006,Estados Unidos,Miniserie de TV,4.6,136
21,El instituto junto a las Torres Gemelas (TV),2019,Estados Unidos,TV,5.63,123
22,11-S: La historia de Rudy Giuliani (TV),2003,Estados Unidos,TV,4.41,117
23,Will (C),2012,Estados Unidos,Cortometraje,5.46,108
24,9/11,2017,Estados Unidos,Película,4.03,95
25,9/11: The Twin Towers (TV),2006,Reino Unido,TV,5.77,88
26,Don't Let Me Drown,2009,Estados Unidos,Película,6.12,78
27,Seguridad nacional (TV),2004,Estados Unidos,TV,3.75,73
28,Loose Change 9/11: An American Coup,2009,Estados Unidos,Película,6.71,69
29,11-S: Estado de emergencia (TV),2010,Reino Unido,TV,6.16,69
30,Como fuego y agua (TV),2014,Alemania,TV,3.74,66
31,The Guys: El coraje de todos,2002,Estados Unidos,Película,5.14,59
32,American Folk,2017,Estados Unidos,Película,6.2,59
33,11 de septiembre de 2001 – Engaño global,2006,Italia,Película,6.76,55
34,Los últimos días de Osama Bin Laden (TV),2011,Estados Unidos,TV,5.5,54
35,Loose Change: Final Cut,2007,Estados Unidos,Película,6.82,45
36,Desviados (TV),2009,Canadá,TV,4.34,44
37,9/11: The Falling Man,2006,Reino Unido,Película,6.2,41
38,"Zona Cero, en busca de las pruebas",2007,Reino Unido,Película,5.87,31
39,Titanic,1997,Estados Unidos,Película,6.81,177813
40,Avatar,2009,Estados Unidos,Película,7.19,161772
41,Toy Story,1995,Estados Unidos,Película,7.73,156709
42,Up,2009,Estados Unidos,Película,7.9,140359
43,La bella y la bestia,1991,Estados Unidos,Película,7.32,114100
44,Toy Story 3,2010,Estados Unidos,Película,7.92,113800
45,Toy Story 2,1999,Estados Unidos,Película,7.05,113523
46,Pesadilla antes de Navidad,1993,Estados Unidos,Película,7.69,101822
47,Los Simpson: La película,2007,Estados Unidos,Película,6.18,96397
48,Gravity,2013,Estados Unidos,Película,6.91,87280
49,El Hobbit: Un viaje inesperado,2012,Nueva Zelanda,Película,6.96,82379
50,Los vengadores,2012,Estados Unidos,Película,6.9,79027
51,Alicia en el país de las maravillas,2010,Estados Unidos,Película,5.96,78873
52,Del revés (Inside Out),2015,Estados Unidos,Película,7.77,77757
53,Guerra Mundial Z,2013,Estados Unidos,Película,6.11,71358
54,La vida de Pi,2012,Estados Unidos,Película,7.12,66637
55,Harry Potter y las reliquias de la muerte - Parte 2,2011,Reino Unido,Película,7.05,65049
56,Marte (The Martian),2015,Estados Unidos,Película,7.0,62829
57,Star Wars: El despertar de la Fuerza,2015,Estados Unidos,Película,6.77,62221
58,El Hobbit: La desolación de Smaug,2013,Nueva Zelanda,Película,6.71,61898
59,Thor,2011,Estados Unidos,Película,5.6,59681
60,La invención de Hugo,2011,Estados Unidos,Película,6.8,59379
61,Guardianes de la galaxia,2014,Estados Unidos,Película,6.88,58356
62,Capitán América: El primer vengador,2011,Estados Unidos,Película,5.74,55069
63,Piratas del Caribe: En mareas misteriosas,2011,Estados Unidos,Película,5.39,54114
64,"Gru, mi villano favorito",2010,Estados Unidos,Película,6.78,53960
65,Jurassic World,2015,Estados Unidos,Película,5.78,52125
66,El hombre de acero,2013,Estados Unidos,Película,5.82,51088
67,Las aventuras de Tintín: El secreto del unicornio,2011,Estados Unidos,Película,6.72,50709
68,Los mundos de Coraline,2009,Estados Unidos,Película,7.09,50298
69,Iron Man 3,2013,Estados Unidos,Película,6.1,49704
70,The Amazing Spider-Man,2012,Estados Unidos,Película,5.78,48226
71,Brave (Indomable),2012,Estados Unidos,Película,6.47,47160
72,Cómo entrenar a tu dragón,2010,Estados Unidos,Película,7.25,46018
73,El Hobbit: La batalla de los cinco ejércitos,2014,Nueva Zelanda,Película,6.33,45760
74,Frozen. El reino del hielo,2013,Estados Unidos,Película,6.5,45656
75,El amanecer del planeta de los simios,2014,Estados Unidos,Película,6.58,44932
76,Vengadores: La era de Ultrón,2015,Estados Unidos,Película,6.27,44407
77,Rogue One: Una historia de Star Wars,2016,Estados Unidos,Película,6.91,44153
78,El gran Gatsby,2013,Australia,Película,6.25,43127
79,¡Rompe Ralph!,2012,Estados Unidos,Película,6.87,41485
80,Ice Age 3: El origen de los dinosaurios,2009,Estados Unidos,Película,6.36,40526
81,Capitán América: El Soldado de Invierno,2014,Estados Unidos,Película,6.57,40181
82,Al filo del mañana,2014,Estados Unidos,Película,6.74,40113
83,Maléfica,2014,Estados Unidos,Película,5.99,39015
84,Monstruos University,2013,Estados Unidos,Película,6.49,38920
85,Capitán América: Civil War,2016,Estados Unidos,Película,6.76,38357
