id_dir,direccion
0,Michael Moore
1,Kathryn Bigelow
2,Spike Lee
3,Peter Joseph
4,Paul Greengrass
5,Oliver Stone
6,Stephen Daldry
7,Karan Johar
8,Mike Binder
9,Nicolai Fuglsig
10,Samira Makhmalbaf
11,Claude Lelouch
12,Youssef Chahine
13,Dan Futterman
14,Alex Gibney
15,Lawrence Wright 
16,Mira Nair
17,Dylan Avery
18,Nicole Rittenmeyer
19,Seth Skundrick
20,Peter Markle
21,Jonas Mekas
22,James Hanlon
23,Rob Klug
24,Gédéon Naudet
25,Greg Barker
26,Austin Chick
27,David L. Cunningham
28,Amy Schatz
29,Robert Dornhelm
30,Eusong Lee
31,Martin Guigui
32,Richard Dale
33,Cruz Ángeles
34,Daniel Sackheim
35,Neil Rawles
36,Helmut Metzger
37,Jim Simpson
38,David Heinz
39,Massimo Mazzucco
40,Carsten Oblaender
41,Alex Chapple
42,Henry Singer
43,Steve Humphries
44,James Cameron
45,John Lasseter
46,Pete Docter
47,Bob Peterson
48,Gary Trousdale
49,Kirk Wise
50,Lee Unkrich
51,Ash Brannon
52,Henry Selick
53,David Silverman
54,Alfonso Cuarón
55,Peter Jackson
56,Joss Whedon
57,Tim Burton
58,Ronaldo Del Carmen
59,Marc Forster
60,Ang Lee
61,David Yates
62,Ridley Scott
63,J.J. Abrams
64,Kenneth Branagh
65,Martin Scorsese
66,James Gunn
67,Joe Johnston
68,Rob Marshall
69,Pierre Coffin
70,Chris Renaud
71,Colin Trevorrow
72,Zack Snyder
73,Steven Spielberg
74,Shane Black
75,Marc Webb
76,Mark Andrews
77,Brenda Chapman
78,Steve Purcell
79,Dean DeBlois
80,Chris Sanders
81,Chris Buck
82,Jennifer Lee
83,Matt Reeves
84,Gareth Edwards
85,Baz Luhrmann
86,Rich Moore
87,Carlos Saldanha
88,Mike Thurmeier
89,Anthony Russo
90,Joe Russo
91,Doug Liman
92,Robert Stromberg
93,Dan Scanlon 
94,Alan Taylor
95,Nathan Greno
96,Byron Howard
97,Martin McDonagh
98,Tom McCarthy
99,Niels Arden Oplev
100,Pedro Almodóvar
101,David Slade
102,David Fincher
103,Thomas Vinterberg
104,Gaspar Noé
105,Alejandro Amenábar
106,John Patrick Shanley
107,David E. Kelley
108,Jean-Marc Vallée
109,Andrea Arnold
110,Todd Solondz
111,Paul Verhoeven
112,Brian De Palma
113,Todd Field
114,Lukas Moodysson
115,Pablo Larraín
116,Ingmar Bergman
117,Destin Cretton
118,Jay Roach
119,Susannah Grant
120,Michael Chabon
121,Ayelet Waldman
122,Andrew Jarecki
123,Jonathan Kaplan
124,Montxo Armendáriz
125,Gregg Araki
126,Nicole Kassell
127,Coralie Fargeat
128,Chris Gerolmo
129,Aisling Walsh
130,Steven R. Monroe
131,Wes Craven
132,Anne Fontaine
133,Lisa Bryant
134,David Schwimmer
135,Larysa Kondracki
136,Kitty Green
137,Virginie Despentes
138,Coralie Trinh Thi
139,Santiago Mitre
140,Dan Reed
141,Agustí Villaronga
142,Tetsuya Nakashima
143,Dick Wolf
144,David Platt
145,Peter Leto
146,Maribel Sánchez-Maroto
147,Baran bo Odar
148,François Ozon
149,Michaela Coel
150,Christian Duguay
151,Ryan White
152,Meir Zarchi
153,John G. Avildsen
154,Tomas Alfredson
155,J.A. Bayona
156,Lee Daniels
157,Barry Jenkins
158,Brian Yorkey
159,Kyle Patrick Alvarez
160,Mark Waters
161,Stephen Chbosky
162,Susanne Bier
163,Kimberly Peirce
164,Paul Feig
165,Jake Kasdan
166,Judd Apatow
167,Nic Balthazar
168,José Corbacho
169,Juan Cruz
170,Naoko Yamada
171,Andy Fickman
172,Steven Brill
173,Ilmar Raag
174,Mikael Håfström
175,Michael Morris
176,Jessica Yu
177,Michel Franco
178,Miroslav Slaboshpitsky
179,Zoe Berriatúa
180,Brian Dannelly
181,Melanie Mayron
182,David Ilundain
183,Reza Parsa
184,Russell Mulcahy
185,Michael Sucsy
186,John Ridley
187,Clement Virgo
188,Saverio Costanzo
189,Murali K. Thalluri
190,Nick Willing
191,Josetxo San Mateo
192,Lauren Gussis
193,Andrew Fleming
194,Maggie Kiley
195,David Seltzer
196,Bonni Cohen
197,Jon Shenk
198,Volker Schlöndorff
199,Anna Odell
200,
201,Jannicke Systad Jacobsen
202,Shunji Iwai
203,Jacob Estes
204,Yeon Sang-ho
205,Joey Stewart
206,Charles Binamé
207,Guillermo Ríos
208,Ben Chanan
209,Robert Zemeckis
210,Fernando Meirelles
211,Kátia Lund
212,Paul Weitz
213,Chris Weitz
214,Jason Reitman
215,Randal Kleiser
216,Nick Cassavetes
217,Dennis Gansel
218,Emile Ardolino
219,Jim Gillespie
220,Linwood Boomer
221,Todd Holland
222,Jeffrey Melman
223,Richard Donner
224,Kevin Smith
225,Neal Marlens
226,Carol Black
227,Alfred Gough
228,Miles Millar
229,James Marshall
230,Richard Linklater
231,Gus Van Sant
232,Edgar Wright
233,Darren Star
234,Daniel Attias
235,Chip Chalmers
236,Barry Levinson
237,Achero Mañas
238,Wes Anderson
239,Abdellatif Kechiche
240,Kevin Williamson
241,Gregory Prange
242,David Semel
243,Greg Mottola
244,J.B. Rogers
245,Sofia Coppola
246,Josh Schwartz
247,Ian Toynton
248,Michael Lange
249,Shane Meadows
250,François Truffaut
251,Bernardo Bertolucci
252,Rob Reiner
253,Alfonso Arau
254,Jon Watts
255,Fernando León de Aranoa
256,Amy Sherman-Palladino
257,Jamie Babbit
258,Chris Long
259,Masayuki Hayashi
260,Seitarô Hara
261,Jesse Dylan
262,Nima Nourizadeh
263,Adam Shankman
264,Howard Overman
265,Tom Green
266,Jonathan van Tulleken
267,Makoto Shinkai
268,Lasse Hallström
269,Isao Takahata
270,Atsuji Hayakawa
271,Yoshio Kuroda
272,John Lee Hancock
273,Jaume Collet-Serra
274,Garth Davis
275,Dennis Dugan
276,Rob Minkoff
277,Joel Coen
278,Carla Simón
279,Mike Leigh
280,Stephen Frears
281,Leonard Nimoy
282,Jean-Pierre Dardenne
283,Luc Dardenne
284,Mark Steven Johnson
285,Nick Hamm
286,Stephen J. Anderson
287,Claude Barras
288,Patricia Ferreira
289,Coline Serreau
290,Rodrigo García
291,Menno Meyjes
292,Sean Anders
293,Mike Flanagan
294,Stu Silver
295,Lee Bernhardi
296,Joel Zwick
297,Moira Walley-Beckett
298,Niki Caro
299,David Evans
300,Radu Mihaileanu
301,Hiroshi Shidara
302,Tamara Jenkins
303,Benedikt Erlingsson
304,Kevin Sullivan
305,Antonio Chavarrías
306,David Planell
307,José Luis Garci
308,Will Gluck
309,Belén Macías
310,Jeff Harris
311,Bernie Kukoff
312,Gerren Keith
313,George Stevens
314,Rod Hardy
315,María Ripoll
316,Daniela Féjerman
317,Craig McCracken
318,Lauren Faust
319,Mike Moon
320,David O. Russell
321,Bertrand Tavernier
322,Jake Scott
323,Roger Allers
324,Michael Curtiz
325,Steve Oedekerk
326,Edward Zwick
327,Anthony Minghella
328,Sydney Pollack
329,Terry George
330,Eric Darnell
331,Tom McGrath
332,Kevin Lima
333,John Huston
334,Kevin Macdonald
335,Ryan Coogler
336,John Landis
337,Jon Favreau
338,Antoine Fuqua
339,Cary Joji Fukunaga
340,Fernando González Molina
341,Darrell Rooney
342,Rob LaDuca
343,Michael Apted
344,Frank Marshall
345,Lewis Teague
346,Jamie Uys
347,Steven Knight
348,Kristoffer Nyholm
349,Anders Engström
350,John Ford
351,Michael Bay
352,Salvador Calvo
353,Clint Eastwood
354,Martin Campbell
355,Paul Michael Glaser
356,Stephen Hopkins
357,Hugh Hudson
358,Hubert Sauper
359,Frank Coraci
360,Bradley Raymond
361,Howard Hawks
362,Chiwetel Ejiofor
363,Hermine Huntgeburth
364,Abderrahmane Sissako
365,J. Lee Thompson
366,Michel Ocelot
367,Brad Neave
368,Tony Craig
369,Roberts Gannaway
370,Justin Chadwick
371,Norberto López Amado
372,Scott Frank
373,Allan Scott
374,John McTiernan
375,Jan Pinkava
376,Steven Zaillian
377,Carl Schenkel
378,Jim McBride
379,Jesús Monllaó
380,Norman Jewison
381,Boaz Yakin
382,Marleen Gorris
383,Luis Oliveros
384,Atsuko Ishizuka
385,Takashi Ikehata
386,Akira Shimizu
387,Lukasz Kosmicki
388,Satyajit Ray
389,Laurence Malkin
390,Greg Kohs
391,Liz Garbus
392,Andrew Bujalski
393,Richard Dembo
394,Caroline Bottaro
395,Alberto Lecchi
396,Pierre-François Martin-Laval
397,Edward M. Abroms
398,Vsevolod Pudovkin
399,Nikolai Shpikovsky
400,Éric Tessier
401,Avrum Jacobson
402,David Frazee
403,Anne Wheeler
404,James Napier Robertson
405,Robert W. Paul
406,Wolfgang Petersen
407,Gerd Oswald
408,Cristóbal Vila
409,Vikram Jayanti
410,Jake Goldberger
411,John Leguizamo
412,Juan Luis Buñuel
413,Andrew van den Houten
414,José Larraza
415,Manuel Herrera
416,Allen Hughes
417,Àlex Lora
418,David Díaz
419,Benjamin Ree
420,Lluís Josep Comerón
421,Kenji Misumi
422,Katie Dellamaggiore
423,Natalia Santa
424,Mike Figgis
425,Bradley Cooper
426,Tom Kapinos
427,Scott Winant
428,Benito Zambrano
429,Wong Kar-Wai
430,Paul Thomas Anderson
431,Blake Edwards
432,Paul Abbott
433,Mark Mylod
434,Mimi Leder
435,Scott Cooper
436,Tate Taylor
437,Nacho Vigalondo
438,Sidney Lumet
439,Billy Wilder
440,Betty Thomas
441,James Ponsoldt
442,Luis Mandoki
443,Douglas Sirk
444,Terry Zwigoff
445,Harold Becker
446,Bent Hamer
447,Marielle Heller
448,David Gordon Green
449,Leos Carax
450,Louis Malle
451,Barbet Schroeder
452,Julian Jarrold
453,Alex Kurtzman
454,Gavin O'Connor
455,Ignacio Vilar
456,Eddie Gorodetsky
457,Chuck Lorre
458,James Widdoes
459,Charles Sturridge
460,Michael Lindsay-Hogg
461,Lee Tamahori
462,Fatih Akin
463,Shana Feste
464,Edward Berger
465,Akira Kurosawa
466,Ted Kotcheff
467,Steve Buscemi
468,Érick Zonca
469,Danny Boyle
470,Baltasar Kormákur
471,Renny Harlin
472,Neil Marshall
473,Jimmy Chin
474,Elizabeth Chai Vasarhelyi
475,Abel Ferry
476,Ludovic Bernard
477,Josh Lowell
478,Peter Mortimer
479,Julian Gilbey
480,Pablo Iraburu
481,Migueltxo Molina
482,Nick Rosen
483,Jaume Martí
484,Josep Serra
485,Werner Herzog
486,Jennifer Peedom
487,Philipp Stölzl
488,Franc Roddam
489,Edward Dmytryk
490,Joseph Vilsmaier
491,Louise Osmond
492,Fred Zinnemann
493,Sébastien Montaz-Rosset
494,Sebastián Alvaro
495,Antonio Perezgrueso
496,Carmen Portilla
497,Jaime Murciego
498,Remy Tezier
499,Anthony Geffen
500,Nick Ryan
501,Eric Crosland
502,Dave Mossop
503,Ted Tetzlaff
504,Steven James Creazzo
505,Gonzalo Visedo
506,Daniel Strömbeck
507,Jim Wynorski
508,Mark Roper
509,David Breashears
510,Stephen Judson
511,Greg MacGillivray
512,Rex Piano
513,Graeme Campbell
514,Jérôme Tanon
515,Jordi Varela
516,Lucy Walker
517,Eliza Kubarska
518,Lee Sang-geun
519,Georg Wilhelm Pabst
520,Arnold Fanck
521,Hartmut Griesmayr
522,Juan José Campanella
523,Asghar Farhadi
524,Ignacio Ferreras
525,Richard Glatzer
526,Wash Westmoreland
527,Florian Zeller
528,Richard Eyre
529,Sarah Polley
530,Zhang Yimou
531,Lee Chang-Dong
532,Carles Bosch
533,Atom Egoyan
534,Antonio Mercero
535,Erik Van Looy
536,Michael McGowan
537,Won Shin-yun
538,Yesim Ustaoglu
539,Kirsten Johnson
540,Bruno Collet
541,Albert Solé
542,Freddy Mas Franqueza
543,Elizabeth Chomko
544,Seth Rogen
545,Jordi García
546,John Alexander
547,Harry Macqueen
548,Zabou Breitman
549,Martín Rosete
550,Charlie Russell
551,Jesús Ponce
552,Xacio Baño
553,Carla Subirana
554,Sara Laubscher
555,Saira George
556,Wang Bing
557,Francesco Bruni
558,Lluís María Güell
559,María Novaro
560,Fridrik Thor Fridriksson
561,David S. Cass Sr.
562,Pupi Avati
563,Maite García Ribot
564,Denis Bardiau
565,James Keach
566,Til Schweiger
567,Bille August
568,Fernando Osuna Mascaró
569,Fran Casanova
570,Nicolas Boukhrief
571,Michael Mann
572,Roland Joffé
573,Terrence Malick
574,Rouben Mamoulian
575,Amaya Muruzabal
576,Julián de Tavira
577,Hollingsworth Morse
578,Charles Barton
579,Norman Foster
580,Jean Renoir
581,Fred Niblo
582,Tomás Gutiérrez Alea
583,Henry King
584,Nicolás Echevarría
585,Matt Codd
586,Simon Wincer
587,Sergio Mimica-Gezzan
588,Bruce Beresford
589,María Luisa Bemberg
590,Clarence Brown
591,Maurice Tourneur
592,Samuel Donovan
593,Paul Wilmshurst
594,George B. Seitz
595,Luis Alberto Lamata
596,Niles Atallah
597,Fernando González Sitges
598,Hugo del Carril
599,Nicolás Acuña
600,Douglas Hickox
601,Mónica Miguel
602,Jorge Alí Triana
603,Peter Weir
604,Peter Farrelly
605,Bobby Farrelly
606,Bryan Spicer
607,Richard Fleischer
608,Randa Haines
609,Stephen Gyllenhaal
610,Michael Landon Jr.
611,Terry Cunningham
612,Richard Gabai
613,Gregg Champion
614,Paul Shapiro
615,David Mackay
616,William Friedkin
617,Frank Darabont
618,David Crane
619,Marta Kauffman
620,Gary Halvorson
621,Loveleen Tandan
622,Olivier Nakache
623,Eric Toledano
624,Bill Prady
625,Mark Cendrowski
626,Carter Bays
627,Craig Thomas
628,Pamela Fryman
629,Kevin Costner
630,Trey Parker
631,Matt Stone
632,P.J. Hogan
633,Nacho G. Velilla
634,Ricardo A. Solla
635,Arantxa Écija
636,William Wyler
637,Mark Herman
638,Taylor Hackford
639,Sergio Leone
640,Jon Avnet
641,Michael Patrick King
642,Allen Coulter
643,Michael Cimino
644,Daniel Sánchez Arévalo
645,Carol Reed
646,Jerry Seinfeld
647,Larry David
648,Andy Ackerman
649,Ron Howard
650,George Roy Hill
651,Álex de la Iglesia
652,John Badham
653,John Schlesinger
654,Andy Muschietti
655,Joshua Brand
656,John Falsey
657,Michael Fresco
658,Matt Groening
659,Sam Simon
660,James L. Brooks
661,Seth MacFarlane
662,Peter Shin
663,Pete Michels
664,Hayao Miyazaki
665,Katsuhiro Ōtomo
666,Mike Barker
667,Matt Weitzman
668,Marjane Satrapi
669,Vincent Paronnaud
670,Tetsurō Araki
671,Mamoru Oshii
672,Dan Harmon
673,Justin Roiland
674,Adam Elliot
675,Ari Folman
676,Conrad Vernon
677,Greg Tiernan
678,Hideaki Anno
679,Hironobu Sakaguchi
680,Motonori Sakakibara
681,Satoshi Kon
682,Seiji Mizushima
683,Norimitsu Suzuki
684,Masahiro Andô
685,Yoshiaki Kawajiri
686,Fernando Trueba
687,Javier Mariscal
688,Tono Errando
689,Mike Judge
690,Yvette Kaplan
691,Charlie Kaufman
692,Duke Johnson
693,Tim Miller
694,Dave Wilson
695,Víctor Maldonado
696,Yasuhiro Irie
697,Hiroshi Iketomi
698,Kazuo Miyake
699,Raphael Bob-Waksberg
700,JC Gonzalez
701,Amy Winfrey
702,Kubo Tite
703,Noriyuki Abe
704,Lynn Okamoto
705,Mamoru Kanbe
706,Jay Oliva
707,Masayuki Kojima
708,Jimmy T. Murakami
709,Jérémy Clapin
710,Kazuya Tsurumaki
711,Shin'ichirō Watanabe
712,Mike Henry
713,Richard Appel
714,Nick Kroll
715,Andrew Goldberg
716,Jennifer Flackett
717,Takuji Endo
718,Kazuhiro Furuhashi
719,René Laloux
720,Chris Wedge
721,Wolfgang Reitherman
722,Clyde Geronimi
723,Hamilton Luske
724,David Hand
725,Peter Faiman
726,Alfred Hitchcock
727,Tom Shadyac
728,Nick Park
729,Peter Lord
730,Chris Noonan
731,Jared Bush
732,Darren Aronofsky
733,Sam Weisman
734,Luis Llosa
735,Cruz Delgado
736,Steve Martino
737,W.S. Van Dyke
738,Yarrow Cheney
739,Brian Levant
740,Stephen Herek
741,Luc Jacquet
742,Alastair Fothergill
743,Mark Linfield
744,Félix Rodríguez de la Fuente
745,Robert Redford
746,David Frankel
747,Jean-Jacques Annaud
748,Peter Hajek
749,Peter Moser
750,Hans Werner
751,Joe Carnahan
752,Gary Ross
753,John Musker
754,Ron Clements
755,Noam Murro
756,Louis Leterrier
757,Jason Friedberg
758,Aaron Seltzer
759,John Schulian
760,Rob Tapert
761,Sam Raimi
762,Tarsem Singh
763,Jonathan Liebesman
764,Christian Williams
765,Bruce Campbell
766,Charlie Haskell
767,Brett Ratner
768,Desmond Davis
769,Don Chaffey
770,Phil Weinstein
771,Andrew Dettmann
772,Daniel Truly
773,Francesc Bellmunt
774,Andrei Konchalovsky
775,Mario Camerini
776,Pier Paolo Pasolini
777,John Kent Harrison
778,Roger Young
779,Rudolph Maté
780,Robert Rossen
781,Roswitha Haas
782,T.J. Scott
783,Bob Kline
784,Robert Wise
785,David Farr
786,Owen Harris
787,Mark Brozel
788,Jeff Kanew
789,Nicole Van Goethem
790,Roberto Rossellini
791,David Garfath
792,John Madden
793,Tony Smith
794,David Padrusch
795,Jacques Tourneur
796,Mario Bava
797,Mihalis Kakogiannis
798,Pietro Francisci
799,Franco Piavoli
800,Danièle Huillet
801,Jean-Marie Straub
802,Giorgio Ferroni
803,Lynne Naylor
804,George Pal
805,Takao Yotsuji
806,Stanley Kubrick
807,René Goscinny
808,Albert Uderzo
809,Pierre Watrin
810,John Milius
811,William J. MacDonald
812,Bruno Heller
813,Claude Zidi
814,Steven S. DeKnight
815,Rick Jacobson
816,Michael Hurst
817,Paul W.S. Anderson
818,Mervyn LeRoy
819,Doug Lefler
820,Joseph L. Mankiewicz
821,Herbert Wise
822,Ray Goossens
823,Julie Taymor
824,Thomas Langmann
825,Frédéric Forestier
826,Tinto Brass
827,Mel Brooks
828,Philippe Grimond
829,Timur Bekmambetov
830,Jacques Dorfmann
831,Carlos Sedes
832,Alberto Rodríguez
833,Santi Amodeo
834,Kevin Reynolds
835,Richard Lester
836,Anthony Mann
837,Alexandre Astier
838,Louis Clichy
839,Henry Koster
840,Federico Fellini
841,Laurent Tirard
842,Dick Lowry
843,Juan Maidagán
844,Pepón Montero
845,Buster Keaton
846,Edward F. Cline
847,Barbara Eder
848,Stephen St. Leger
849,Daniel Lee
850,Jez Butterworth
851,Tom Butterworth 
852,James Richardson
853,Javier Fesser
854,Richard Lopez
855,Delmer Daves
856,Simon Wells
857,Steve Hickner
858,Stephen Sommers
859,Chuck Russell
860,Cecil B. DeMille
861,Alain Chabat
862,Alex Proyas
863,Karl Freund
864,Jerzy Kawalerowicz
865,Terence Fisher
866,David Von Ancken
867,Charlton Heston
868,Georges Méliès
869,Gabriel Pascal
870,James Tovell
871,Kenneth Anger
872,Mike Elliott
873,John Singleton
874,Wilfred Jackson
875,Patrice Pooyard
876,Simcha Jacobovici
877,Seth Holt
878,Michael Carreras
879,Ernst Lubitsch
880,Fernando Cerchio
881,Don Michael Paul
882,Mathew Cullen
883,Georges Hatot
884,Louis Lumière
885,Corentin Charron
886,Lise Corriol
887,Olivier Lafay
888,John Rawlins
889,Rob Petrie
890,Osamu Tezuka
891,Eiichi Yamamoto
892,Nina Paley
893,Bill Boyce
894,John Stronach
895,John Brahm
896,Neil Burger
897,Robert Stevenson
898,Charles Chaplin
899,David Cronenberg
900,Nicholas Ray
901,Kyosuke Mikuriya
902,Keiji Hayakawa
903,James Gray
904,Jack Amiel
905,Michael Begler
906,Steven Soderbergh
907,Max Ophüls
908,Ronny Yu
909,Vincente Minnelli
910,Orson Welles
911,Bill Condon
912,Roman Polanski
913,Gareth Evans
914,Akiva Goldsman
915,André De Toth
916,Lo Wei
917,Michael Spierig
918,Peter Spierig 	
919,The Spierig Brothers 
920,Barbra Streisand
921,Jacques Becker
922,Ramón Campos 
923,Gema R. Neira
924,Silvia Quer
925,Isabel Coixet
926,Charlie Bean
927,Bill Bain
928,Christopher Hodson
929,Raymond Menmuir
930,Milos Forman
931,Bertrand Bonello
932,Joseph Losey
933,Eugenio Martín
934,Roschdy Zem
935,James Ivory
936,Francis Ford Coppola
937,Michael Haneke
938,Colm McCarthy
939,Tim Mielants
940,George Cukor
941,Luchino Visconti
942,James Watkins
943,Julian Fellowes
944,Brian Percival
945,Sarah Gavron
946,Elia Kazan
947,Julio Medem
948,Russell Crowe
949,Fernando Colomo
950,Pilar Miró
951,John Frankenheimer
952,Luc Besson
953,David Lean
954,Marius Holst
955,Robert Siodmak
956,William A. Wellman
957,Bigas Luna
958,Joaquín Oristrell
959,Warren Beatty
960,Dome Karukoski
961,Don Taylor
962,Albert Dupontel
963,David Mamet
964,Woody Allen
965,Michel Hazanavicius
966,Stanley Donen
967,Gene Kelly
968,Tom Hooper
969,Terence Winter
970,Timothy Van Patten
971,Ken Loach
972,Pablo Berger
973,John Curran
974,Carl Theodor Dreyer
975,Neil Jordan
976,E. Elias Merhige
977,Luis Buñuel
978,Giuseppe Tornatore
979,Zak Hilditch
980,Roberto Benigni
981,Sam Mendes
982,Lars von Trier
983,José Luis Cuerda
984,Joe Wright
985,Bob Fosse
986,Stefan Ruzowitzky
987,Jon Garaño
988,Aitor Arregi
989,José Mari Goenaga
990,Emilio Martínez-Lázaro
991,Angelina Jolie
992,Tay Garnett
993,Arthur Penn
994,Francis Lawrence
995,Robert Altman
996,Park Chan-wook
997,Wilson Yip
998,Guillermo del Toro
999,Christophe Barratier
1000,Morten Tyldum
1001,Richard Attenborough
1002,George Tillman Jr.
1003,Taika Waititi
1004,Mel Gibson
1005,Ruben Fleischer
1006,Víctor Erice
1007,Robert De Niro
1008,George Clooney
1009,John Kahrs
1010,Stanley Kramer
1011,Fernando Fernán Gómez
1012,David F. Sandberg
1013,Alan Parker
1014,Curtis Hanson
1015,Walter Salles
1016,Michael Radford
1017,James Mangold
1018,Bennett Miller
1019,Mike Newell
1020,Todd Haynes
1021,Brad Bird
1022,Sacha Gervasi
1023,Ethan Coen
1024,Pawel Pawlikowski
1025,Olivier Dahan
1026,Juanfer Andrés
1027,Esteban Roel
1028,Matthew Vaughn
1029,Quentin Tarantino
1030,James Marsh
1031,Mario Camus
1032,Barry Sonnenfeld
1033,Don Siegel
1034,Matthew Weiner
1035,Phil Abraham
1036,Michael Uppendahl
1037,Miguel Ángel Bernardeau
1038,Agustín Crespi
1039,Antonio Cano
1040,Gregory Hoblit
1041,Kyle Balda
1042,Guy Ritchie
1043,David Trueba
1044,Lone Scherfig
1045,Penny Marshall
1046,Jim Sheridan
1047,Ben Affleck
1048,Terry Gilliam
1049,James Wan
1050,Bryan Singer
1051,Chris Brancato
1052,Carlo Bernard
1053,Doug Miro
1054,Ted Demme
1055,Miguel Courtois
1056,Noah Hawley
1057,Randall Einhorn
1058,Cameron Crowe
1059,Manuel Huerga
1060,Joe Penhall 
1061,Andrew Dominik
1062,Howard Zieff
1063,Jordan Vogt-Roberts
1064,Gabriele Muccino
1065,Richard Kelly
1066,Wolfgang Becker
1067,Florian Henckel von Donnersmarck
1068,Todd Phillips
1069,Mary Harron
1070,Matt Duffer
1071,Ross Duffer
1072,The Duffer Brothers
1073,Andrew Niccol
1074,Craig Mazin
1075,Johan Renck
1076,Patty Jenkins
1077,Joseph Kosinski
1078,Luca Guadagnino
1079,Jantje Friese
1080,Bong Joon-ho
1081,Sean Penn
1082,Spike Jonze
1083,Tony Scott
1084,Anna Boden
1085,Ryan Fleck
1086,Craig Gillespie
1087,Paco Plaza
1088,Mark Romanek
1089,Derek Cianfrance
1090,John Maybury
1091,Mike Nichols
1092,Thomas Carter
1093,Joshua Michael Stern
1094,Simon Kinberg
1095,Ellory Elkayem
1096,Jack Sholder
1097,Gary Winick
1098,Jack Arnold
1099,Mike Mendez
1100,Jan Bitzer
1101,Ilija Brunck
1102,Csaba Letay
1103,John 'Bud' Cardos
1104,Tibor Takács
1105,Kimble Rendall
1106,Griff Furst
1107,Terry Winsor
1108,Johannes Roberts
1109,Gabriel Medina
1110,Charles A. Nichols
1111,Iwao Takamoto
1112,Nick Simon
1113,Gary Jones
1114,Bert I. Gordon
1115,Scott Ziehl
1116,Segundo de Chomón
1117,George Albert Smith
1118,Sam Firstenberg
1119,Jaime Dezcallar
1120,Bill Rebane
1121,Ron Ormond
1122,Herbert Tevos
1123,Toshihisa Kaiya
1124,David Wu
1125,Michael Peterson
