id_act,actor
0,Documental
1,Jessica Chastain
2,Joel Edgerton
3,Taylor Kinney
4,Kyle Chandler
5,Jennifer Ehle
6,Mark Strong
7,Chris Pratt
8,James Gandolfini
9,Stephen Dillane
10,Mark Duplass
11,Edward Norton
12,Philip Seymour Hoffman
13,Barry Pepper
14,Rosario Dawson
15,Anna Paquin
16,Brian Cox
17,Tony Siragusa
18,Isiah Whitlock Jr.
19,Tony Devon
20,Misha Kuznetsov
21,Christian Clemenson
22,Cheyenne Jackson
23,Ben Sliney
24,Khalid Abdalla
25,Corey Johnson
26,Trish Gates
27,Lewis Alsamari
28,David Alan Basche
29,J. J. Johnson
30,Gary Commock
31,Nicolas Cage
32,Michael Peña
33,Maria Bello
34,Maggie Gyllenhaal
35,Jude Ciccolella
36,Stephen Dorff
37,Armando Riesco
38,Jay Hernandez
39,Michael Shannon
40,Donna Murphy
41,Thomas Horn
42,Tom Hanks
43,Sandra Bullock
44,Max von Sydow
45,Viola Davis
46,Jeffrey Wright
47,John Goodman
48,Zoe Caldwell
49,Adrian Martinez
50,Paul Klementowicz
51,Shahrukh Khan
52,Kajol
53,Christopher B. Duncan
54,Katie A. Keane
55,Benny Nieves
56,Parvin Dabas
57,Arjun Mathur
58,Mackenzie Firgens
59,Natasha Marc
60,Kenton Duty
61,Adam Sandler
62,Don Cheadle
63,Liv Tyler
64,Jada Pinkett Smith
65,Saffron Burrows
66,Donald Sutherland
67,Mike Binder
68,Joey King
69,Robert Klein
70,Melinda Dillon
71,Chris Hemsworth
72,Navid Negahban
73,Trevante Rhodes
74,Elsa Pataky
75,Numan Acar
76,Austin Stowell
77,Jack Kesy
78,Laith Nakli
79,Jeff Daniels
80,Tahar Rahim
81,Peter Sarsgaard
82,Wrenn Schmidt
83,Michael Stuhlbarg
84,Alec Baldwin
85,Bill Camp
86,Annie Parisse
87,Sullivan Jones
88,Virginia Kull
89,Riz Ahmed
90,Kiefer Sutherland
91,Kate Hudson
92,Liev Schreiber
93,Martin Donovan
94,Om Puri
95,Shabana Azmi
96,Nelsan Ellis
97,Haluk Bilginer
98,Adil Hussain
99,Jeffrey Nordling
100,Ty Olsson
101,Kendall Cross
102,Brennan Elliott
103,Monnae Michaell
104,April Telek
105,Laura Mennell
106,Jerry Wasserman
107,Gwynyth Walsh
108,Jacqueline Ann Steuart
109,Josh Hartnett
110,Naomie Harris
111,Adam Scott
112,Emmanuelle Chriqui
113,Andre Royo
114,Robin Tunney
115,David Bowie
116,Rip Torn
117,Harvey Keitel
118,Michael Benyaer
119,Wendy Crewson
120,Shirley Douglas
121,Nabil Elouahabi
122,Kevin Dunn
123,Mido Hamada
124,Barclay Hope
125,Dan Lauria
126,Amy Madigan
127,James Woods
128,Penelope Ann Miller
129,Michelle Nolden
130,John Bourgeois
131,Kirsten Bishop
132,Mark Camacho
133,Sam Stone
134,Mariah Inger
135,Tim Post
136,Jesse Camacho
137,Animación
138,Charlie Sheen
139,Gina Gershon
140,Luis Guzmán
141,Whoopi Goldberg
142,Wood Harris
143,Olga Fonda
144,Jacqueline Bisset
145,Billy Malone
146,Bruce Davison
147,Faune Chambers Watkins
148,E.J. Bonilla
149,Gleendilys Inoa
150,Damián Alcázar
151,Ricardo Chavira
152,Gina Torres
153,Yareli Arizmendi
154,Scott Glenn
155,Tom Skerritt
156,Leland Orser
157,Grant Show
158,Marisol Nichols
159,Kal Penn
160,Ross Gibby
161,Stephi Lineburg
162,Beth Broderick
163,Nicholas Guilak
164,Oona-Devi Liebich
165,Golo Euler
166,Peter Sattmann
167,Irene Kugler
168,Helmut Zierl
169,Brigitte Zeh
170,Robin Sondermann
171,Rachel Casparian
172,Sigourney Weaver
173,Anthony LaPaglia
174,Irene Walsh
175,Jim Simpson
176,Julian Trompeter
177,Katharine Schreiber
178,Lucas DeBassac
179,Joshua Ross
180,Shelita Birchett
181,Joe Purdy
182,Amber Rubarth
183,Krisha Fairchild
184,David Fine
185,Bruce Beatty
186,Elizabeth Dennehy
187,Miranda LaDawn Hill
188,Emma Thatcher
189,Holger Moncada Jr.
190,Julian Gopal
191,Shawn Ashmore
192,David Suchet
193,Joanne Whalley
194,Anita Majumdar
195,Colin Buchanan
196,Amy Rutherford
197,Anousha Alamian
198,Rick Boland
199,Leonardo DiCaprio
200,Kate Winslet
201,Billy Zane
202,Kathy Bates
203,Frances Fisher
204,Gloria Stuart
205,Bill Paxton
206,Bernard Hill
207,David Warner
208,Victor Garber
209,Sam Worthington
210,Zoe Saldana
211,Stephen Lang
212,Michelle Rodriguez
213,Giovanni Ribisi
214,Joel David Moore
215,Wes Studi
216,CCH Pounder
217,Laz Alonso
218,George Clooney
219,Ed Harris
220,Martin Freeman
221,Ian McKellen
222,Richard Armitage
223,Ken Stott
224,Graham McTavish
225,Aidan Turner
226,James Nesbitt
227,Dean O'Gorman
228,Peter Hambleton
229,Stephen Hunter
230,Robert Downey Jr.
231,Chris Evans
232,Mark Ruffalo
233,Jeremy Renner
234,Scarlett Johansson
235,Tom Hiddleston
236,Samuel L. Jackson
237,Cobie Smulders
238,Clark Gregg
239,Mia Wasikowska
240,Johnny Depp
241,Helena Bonham Carter
242,Anne Hathaway
243,Crispin Glover
244,Matt Lucas
245,Marton Csokas
246,Tim Pigott-Smith
247,Lindsay Duncan
248,Geraldine James
249,Brad Pitt
250,Mireille Enos
251,Daniella Kertesz
252,David Morse
253,Matthew Fox
254,Eric West
255,James Badge Dale
256,David Andrews
257,Peter Capaldi
258,Fana Mokoena
259,Suraj Sharma
260,Irrfan Khan
261,Rafe Spall
262,Tabu
263,Shravanthi Sainath
264,Ayush Tandon
265,Vibish Sivakumar
266,Gérard Depardieu
267,Daniel Radcliffe
268,Emma Watson
269,Rupert Grint
270,Alan Rickman
271,Ralph Fiennes
272,Michael Gambon
273,Jason Isaacs
274,Maggie Smith
275,David Thewlis
276,Matt Damon
277,Chiwetel Ejiofor
278,Kate Mara
279,Sean Bean
280,Kristen Wiig
281,Sebastian Stan
282,Aksel Hennie
283,Daisy Ridley
284,John Boyega
285,Harrison Ford
286,Adam Driver
287,Oscar Isaac
288,Carrie Fisher
289,Peter Mayhew
290,Domhnall Gleeson
291,Gwendoline Christie
292,Luke Evans
293,Evangeline Lilly
294,Orlando Bloom
295,Natalie Portman
296,Anthony Hopkins
297,Stellan Skarsgard
298,Jaimie Alexander
299,Ray Stevenson
300,Idris Elba
301,Kat Dennings
302,Colm Feore
303,Asa Butterfield
304,Chloë Grace Moretz
305,Ben Kingsley
306,Sacha Baron Cohen
307,Helen McCrory
308,Jude Law
309,Emily Mortimer
310,Ray Winstone
311,Christopher Lee
312,Dave Bautista
313,Bradley Cooper
314,Vin Diesel
315,Lee Pace
316,Michael Rooker
317,Karen Gillan
318,John C. Reilly
319,Djimon Hounsou
320,Hugo Weaving
321,Hayley Atwell
322,Tommy Lee Jones
323,Stanley Tucci
324,Dominic Cooper
325,Neal McDonough
326,David Bradley
327,Geoffrey Rush
328,Penélope Cruz
329,Ian McShane
330,Sam Claflin
331,Kevin McNally
332,Astrid Bergès-Frisbey
