id,genero
0,Documental
0,11-S
0,Guerra de Iraq
1,Thriller
1,Acción
1,Drama
1,Terrorismo
1,11-S
1,Basado en hechos reales
2,Drama
2,Película de culto
2,11-S
3,Documental
3,Religión
3,11-S
3,Cine independiente USA
3,Divulgativo/Educativo
4,Drama
4,11-S
4,Basado en hechos reales
4,Terrorismo
4,Aviones
4,Secuestros / Desapariciones
5,Drama
5,Terrorismo
5,11-S
5,Basado en hechos reales
5,Bomberos
6,Drama
6,11-S
6,Infancia
6,Melodrama
7,Romance
7,Drama
7,Drama romántico
7,Enfermedad
7,Terrorismo
7,11-S
7,Discapacidad
7,Racismo
8,Drama
8,11-S
8,Amistad
9,Bélico
9,Guerra de Afganistán
9,Ejército
9,Basado en hechos reales
9,11-S
10,Drama
10,Documental
10,11-S
10,Película de episodios
11,Serie de TV
11,Drama
11,Miniserie de TV
11,11-S
11,Terrorismo
12,Thriller
12,Drama
12,11-S
13,Documental
13,11-S
14,Documental
14,11-S
14,Documental sobre Historia
15,Acción
15,Drama
15,Basado en hechos reales
15,Terrorismo
15,11-S
15,Aviones
15,Telefilm
16,Documental
16,11-S
16,Cine independiente USA
16,Cortometraje
17,Documental
17,11-S
17,Bomberos
17,Telefilm
18,Documental
18,Política
18,Conflicto árabe-israelí
18,Espionaje
18,11-S
19,Drama
19,Bolsa & Negocios
19,11-S
20,Serie de TV
20,Drama
20,Miniserie de TV
20,Propaganda
20,Terrorismo
20,11-S
21,Documental
21,Telefilm
21,11-S
21,Terrorismo
22,Drama
22,Biográfico
22,Política
22,Telefilm
22,11-S
23,Animación
23,Drama
23,11-S
23,Cortometraje (animación)
24,Acción
24,Drama
24,11-S
25,Documental
25,11-S
25,Catástrofes
25,Telefilm
26,Drama
26,Romance
26,Drama romántico
26,11-S
27,Drama
27,11-S
27,Telefilm
28,Documental
28,11-S
29,Documental
29,11-S
29,Documental sobre Historia
29,Terrorismo
30,Romance
30,Telefilm
30,11-S
31,Drama
31,11-S
31,Bomberos
32,Drama
32,Musical
32,11-S
32,Cine independiente USA
33,Documental
33,11-S
33,Aviones
33,Terrorismo
34,Documental
34,11-S
35,Documental
35,11-S
36,Drama
36,11-S
36,Telefilm
37,Documental
37,11-S
38,Documental
38,11-S
38,Mediometraje
39,Romance
39,Drama
39,Aventuras
39,Drama romántico
39,Basado en hechos reales
39,3-D
39,Catástrofes
39,Titanic
39,Cine épico
40,Ciencia ficción
40,Aventuras
40,Bélico
40,Acción
40,Fantástico
40,Romance
40,Naturaleza
40,Extraterrestres
40,3-D
41,Animación
41,Fantástico
41,Comedia
41,Aventuras
41,Infantil
41,Muñecos
41,Pixar
41,3-D
41,Cine familiar
42,Animación
42,Aventuras
42,Comedia
42,Infantil
42,Amistad
42,Vejez/Madurez
42,3-D
42,Cine familiar
42,Pixar
43,Animación
43,Fantástico
43,Romance
43,Musical
43,Infantil
43,Cuentos
43,3-D
44,Animación
44,Fantástico
44,Aventuras
44,Comedia
44,Infantil
44,Secuela
44,Muñecos
