id,titulo,año,pais,tipo
0,Fahrenheit 9/11,2004,Estados Unidos,Película
1,La noche más oscura (Zero Dark Thirty),2012,Estados Unidos,Película
2,La última noche,2002,Estados Unidos,Película
3,Zeitgeist: The Movie,2007,Estados Unidos,Película
4,United 93 (Vuelo 93),2006,Estados Unidos,Película
5,World Trade Center,2006,Estados Unidos,Película
6,"Tan fuerte, tan cerca",2011,Estados Unidos,Película
7,Mi nombre es Khan,2010,India,Película
8,En algún lugar de la memoria,2007,Estados Unidos,Película
9,12 valientes,2018,Estados Unidos,Película
10,11'09''01 - 11 de septiembre,2002,Francia,Película
11,The Looming Tower (Miniserie de TV),2018,Estados Unidos,Miniserie de TV
12,El fundamentalista reticente,2012,Estados Unidos,Película
13,Loose Change: Second Edition,2006,Estados Unidos,Película
14,102 minutos que cambiaron América,2008,Estados Unidos,Película
15,Flight 93 (TV),2006,Estados Unidos,TV
16,WTC Haikus (C),2010,Estados Unidos,Cortometraje
17,9/11 (TV),2002,Estados Unidos,TV
18,A la caza de Bin Laden (TV),2012,Estados Unidos,TV
19,August,2008,Estados Unidos,Película
20,11S: El origen (Miniserie de TV),2006,Estados Unidos,Miniserie de TV
21,El instituto junto a las Torres Gemelas (TV),2019,Estados Unidos,TV
22,11-S: La historia de Rudy Giuliani (TV),2003,Estados Unidos,TV
23,Will (C),2012,Estados Unidos,Cortometraje
24,9/11,2017,Estados Unidos,Película
25,9/11: The Twin Towers (TV),2006,Reino Unido,TV
26,Don't Let Me Drown,2009,Estados Unidos,Película
27,Seguridad nacional (TV),2004,Estados Unidos,TV
28,Loose Change 9/11: An American Coup,2009,Estados Unidos,Película
29,11-S: Estado de emergencia (TV),2010,Reino Unido,TV
30,Como fuego y agua (TV),2014,Alemania,TV
31,The Guys: El coraje de todos,2002,Estados Unidos,Película
32,American Folk,2017,Estados Unidos,Película
33,11 de septiembre de 2001 – Engaño global,2006,Italia,Película
34,Los últimos días de Osama Bin Laden (TV),2011,Estados Unidos,TV
35,Loose Change: Final Cut,2007,Estados Unidos,Película
36,Desviados (TV),2009,Canadá,TV
37,9/11: The Falling Man,2006,Reino Unido,Película
38,"Zona Cero, en busca de las pruebas",2007,Reino Unido,Película
39,Titanic,1997,Estados Unidos,Película
40,Avatar,2009,Estados Unidos,Película
41,Toy Story,1995,Estados Unidos,Película
42,Up,2009,Estados Unidos,Película
43,La bella y la bestia,1991,Estados Unidos,Película
44,Toy Story 3,2010,Estados Unidos,Película
45,Toy Story 2,1999,Estados Unidos,Película
46,Pesadilla antes de Navidad,1993,Estados Unidos,Película
47,Los Simpson: La película,2007,Estados Unidos,Película
48,Gravity,2013,Estados Unidos,Película
49,El Hobbit: Un viaje inesperado,2012,Nueva Zelanda,Película
50,Los vengadores,2012,Estados Unidos,Película
51,Alicia en el país de las maravillas,2010,Estados Unidos,Película
52,Del revés (Inside Out),2015,Estados Unidos,Película
53,Guerra Mundial Z,2013,Estados Unidos,Película
54,La vida de Pi,2012,Estados Unidos,Película
55,Harry Potter y las reliquias de la muerte - Parte 2,2011,Reino Unido,Película
56,Marte (The Martian),2015,Estados Unidos,Película
57,Star Wars: El despertar de la Fuerza,2015,Estados Unidos,Película
58,El Hobbit: La desolación de Smaug,2013,Nueva Zelanda,Película
59,Thor,2011,Estados Unidos,Película
60,La invención de Hugo,2011,Estados Unidos,Película
61,Guardianes de la galaxia,2014,Estados Unidos,Película
62,Capitán América: El primer vengador,2011,Estados Unidos,Película
63,Piratas del Caribe: En mareas misteriosas,2011,Estados Unidos,Película
64,"Gru, mi villano favorito",2010,Estados Unidos,Película
65,Jurassic World,2015,Estados Unidos,Película
66,El hombre de acero,2013,Estados Unidos,Película
67,Las aventuras de Tintín: El secreto del unicornio,2011,Estados Unidos,Película
68,Los mundos de Coraline,2009,Estados Unidos,Película
69,Iron Man 3,2013,Estados Unidos,Película
70,The Amazing Spider-Man,2012,Estados Unidos,Película
71,Brave (Indomable),2012,Estados Unidos,Película
72,Cómo entrenar a tu dragón,2010,Estados Unidos,Película
73,El Hobbit: La batalla de los cinco ejércitos,2014,Nueva Zelanda,Película
74,Frozen. El reino del hielo,2013,Estados Unidos,Película
75,El amanecer del planeta de los simios,2014,Estados Unidos,Película
76,Vengadores: La era de Ultrón,2015,Estados Unidos,Película
77,Rogue One: Una historia de Star Wars,2016,Estados Unidos,Película
78,El gran Gatsby,2013,Australia,Película
79,¡Rompe Ralph!,2012,Estados Unidos,Película
80,Ice Age 3: El origen de los dinosaurios,2009,Estados Unidos,Película
81,Capitán América: El Soldado de Invierno,2014,Estados Unidos,Película
82,Al filo del mañana,2014,Estados Unidos,Película
83,Maléfica,2014,Estados Unidos,Película
84,Monstruos University,2013,Estados Unidos,Película
85,Capitán América: Civil War,2016,Estados Unidos,Película
86,Thor: El mundo oscuro,2013,Estados Unidos,Película
87,Gru 2. Mi villano favorito,2013,Estados Unidos,Película
88,Enredados,2010,Estados Unidos,Película
89,Tres anuncios en las afueras,2017,Reino Unido,Película
90,Spotlight,2015,Estados Unidos,Película
91,Millennium 1: Los hombres que no amaban a las mujeres,2009,Suecia,Película
92,La mala educación,2004,España,Película
93,Hard Candy,2005,Estados Unidos,Película
94,Millennium: Los hombres que no amaban a las mujeres,2011,Estados Unidos,Película
95,La caza,2012,Dinamarca,Película
96,Irreversible,2002,Francia,Película
97,Regresión,2015,España,Película
98,La duda,2008,Estados Unidos,Película
99,Big Little Lies (Serie de TV),2017,Estados Unidos,Serie de TV
100,Happiness,1998,Estados Unidos,Película
101,Elle,2016,Francia,Película
102,Corazones de hierro,1989,Estados Unidos,Película
103,Juegos secretos,2006,Estados Unidos,Película
104,Lilja forever (Lilja 4-ever),2002,Suecia,Película
105,El club,2015,Chile,Película
106,El manantial de la doncella,1960,Suecia,Película
107,Las vidas de Grace (Short Term 12),2013,Estados Unidos,Película
108,El escándalo,2019,Estados Unidos,Película
109,Creedme (Miniserie de TV),2019,Estados Unidos,Miniserie de TV
110,Capturing the Friedmans,2003,Estados Unidos,Película
111,Acusados,1988,Estados Unidos,Película
112,No tengas miedo,2011,España,Película
113,Oscura inocencia,2004,Estados Unidos,Película
114,El leñador,2004,Estados Unidos,Película
115,Revenge,2017,Francia,Película
116,Citizen X (Ciudadano X) (TV),1995,Estados Unidos,TV
117,Los niños de San Judas,2003,Irlanda,Película
118,Escupiré sobre tu tumba (Dulce venganza),2010,Estados Unidos,Película
119,La última casa a la izquierda,1972,Estados Unidos,Película
120,Las inocentes,2016,Francia,Película
121,Redacted,2007,Estados Unidos,Película
122,Jeffrey Epstein: Asquerosamente rico (Miniserie de TV),2020,Estados Unidos,Miniserie de TV
123,Puedes confiar en mí,2010,Estados Unidos,Película
124,La verdad oculta,2010,Canadá,Película
125,The Assistant,2019,Estados Unidos,Película
126,Fóllame,2000,Francia,Película
127,Paulina,2015,Argentina,Película
128,Leaving Neverland,2019,Estados Unidos,Película
129,Tras el cristal,1986,España,Película
130,El mundo de Kanako,2014,Japón,Película
131,Ley y orden: Unidad de Víctimas Especiales (Serie de TV),1999,Estados Unidos,Serie de TV
132,Nevenka (Miniserie de TV),2021,España,Miniserie de TV
133,Silencio de hielo,2010,Alemania,Película
134,Gracias a Dios,2018,Francia,Película
135,Podría destruirte (Miniserie de TV),2020,Reino Unido,Miniserie de TV
136,Tráfico humano (Miniserie de TV),2005,Canadá,Miniserie de TV
137,The Keepers (Miniserie de TV),2017,Estados Unidos,Miniserie de TV
138,La violencia del sexo,1978,Estados Unidos,Película
139,"Karate Kid, el momento de la verdad",1984,Estados Unidos,Película
140,Déjame entrar,2008,Suecia,Película
141,Carrie,1976,Estados Unidos,Película
142,Un monstruo viene a verme,2016,España,Película
143,Precious,2009,Estados Unidos,Película
144,Moonlight,2016,Estados Unidos,Película
145,Por trece razones (Serie de TV),2017,Estados Unidos,Serie de TV
146,Chicas malas,2004,Estados Unidos,Película
147,Wonder,2017,Estados Unidos,Película
148,En un mundo mejor,2010,Dinamarca,Película
149,Déjame entrar (Let Me In),2010,Estados Unidos,Película
150,Carrie,2013,Estados Unidos,Película
151,Freaks and Geeks (Serie de TV),1999,Estados Unidos,Serie de TV
152,Bienvenidos a la casa de muñecas,1995,Estados Unidos,Película
153,Ben X,2007,Bélgica,Película
154,Cobardes,2008,España,Película
155,A Silent Voice,2016,Japón,Película
156,¿Otra vez tú?,2010,Estados Unidos,Película
157,No tan duro de pelar (Drillbit Taylor),2008,Estados Unidos,Película
158,Klass (The Class),2007,Estonia,Película
159,Evil (Ondskan),2003,Suecia,Película
160,Por trece razones: ¿Quién mató a Bryce Walker? (Serie de TV),2019,Estados Unidos,Serie de TV
161,Después de Lucía,2012,México,Película
162,The Tribe,2014,Ucrania,Película
163,Los héroes del mal,2015,España,Película
164,Salvados,2004,Estados Unidos,Película
165,Chicas malas 2 (TV),2011,Estados Unidos,TV
166,Uno para todos,2020,España,Película
167,Antes de la tormenta,2000,Suecia,Película
168,Por trece razones: La temporada final (Serie de TV),2020,Estados Unidos,Serie de TV
169,American Crime 2 (Serie de TV),2016,Estados Unidos,Serie de TV
170,La soledad de los números primos,2010,Italia,Película
171,2:37 (La hora del suicida),2006,Australia,Película
172,Bajo el hielo,2005,Canadá,Película
173,Bullying,2009,España,Película
174,Insatiable (Serie de TV),2018,Estados Unidos,Serie de TV
175,Lucas,1986,Estados Unidos,Película
176,Audrie y Daisy,2016,Estados Unidos,Película
177,El joven Törless,1966,Alemania del Oeste (RFA),Película
178,La reunión,2013,Suecia,Película
179,Por trece razones: Más allá de las razones (TV),2017,Estados Unidos,TV
