id,puntuacion,votos
0,6.99,69775
1,6.79,36704
2,7.49,33793
3,7.36,21808
4,6.7,19146
5,4.62,15907
6,5.87,8830
7,7.01,6826
8,6.47,5371
9,5.44,4290
10,6.56,2967
11,7.15,1369
12,6.06,909
13,7.1,649
14,7.11,558
15,5.58,549
16,6.64,343
17,7.13,308
18,5.98,223
19,5.12,201
20,4.6,136
21,5.63,123
22,4.41,117
23,5.46,108
24,4.03,95
25,5.77,88
26,6.12,78
27,3.75,73
28,6.71,69
29,6.16,69
30,3.74,66
31,5.14,59
32,6.2,59
33,6.76,55
34,5.5,54
35,6.82,45
36,4.34,44
37,6.2,41
38,5.87,31
39,6.81,177813
40,7.19,161772
41,7.73,156709
42,7.9,140359
43,7.32,114100
44,7.92,113800
45,7.05,113523
46,7.69,101822
47,6.18,96397
48,6.91,87280
49,6.96,82379
50,6.9,79027
51,5.96,78873
52,7.77,77757
53,6.11,71358
54,7.12,66637
55,7.05,65049
56,7.0,62829
57,6.77,62221
58,6.71,61898
59,5.6,59681
60,6.8,59379
61,6.88,58356
62,5.74,55069
63,5.39,54114
64,6.78,53960
65,5.78,52125
66,5.82,51088
67,6.72,50709
68,7.09,50298
69,6.1,49704
70,5.78,48226
71,6.47,47160
72,7.25,46018
73,6.33,45760
74,6.5,45656
75,6.58,44932
76,6.27,44407
77,6.91,44153
78,6.25,43127
79,6.87,41485
80,6.36,40526
81,6.57,40181
82,6.74,40113
83,5.99,39015
84,6.49,38920
85,6.76,38357
86,5.67,38240
87,6.63,37649
88,6.9,36514
89,7.62,47080
90,7.28,45658
91,6.68,44135
92,6.05,39344
93,6.76,38227
94,6.96,35309
95,7.72,34525
96,6.74,25221
97,5.31,24493
98,6.82,23347
99,7.73,19685
100,7.45,19192
101,6.45,17309
102,6.76,15644
103,6.92,14709
104,7.52,11602
105,7.06,10250
106,7.88,8536
107,7.18,8524
108,6.17,8095
109,7.47,7722
110,7.49,7280
111,6.44,5933
112,6.15,5603
113,7.14,5524
114,6.42,4989
115,5.65,4845
116,7.08,4644
117,6.98,4436
118,5.72,4343
119,5.4,4242
120,6.53,3274
121,6.08,3213
122,6.3,3208
123,6.01,3170
124,6.53,3091
125,6.23,2945
126,3.93,2918
127,6.24,2528
128,6.28,2377
129,6.34,2324
130,6.01,2271
131,6.37,2177
132,6.57,2153
133,6.12,2096
134,6.59,2072
135,7.11,2053
136,6.39,1778
137,7.12,1600
138,5.21,1558
139,6.07,58763
140,7.27,57599
141,6.99,54722
142,6.63,35795
143,6.7,31024
144,6.75,29286
145,6.77,22379
146,5.39,20636
147,7.07,17213
148,7.23,12961
149,6.36,12775
150,5.0,11407
151,7.96,7450
152,7.11,6092
153,6.57,5146
154,5.52,5125
155,7.15,5035
156,4.38,3721
157,4.43,3383
158,6.99,3376
159,7.13,3192
160,5.41,2047
161,6.63,1981
162,6.57,1835
163,5.31,1695
164,5.35,1466
165,3.04,1424
166,6.22,1397
167,6.86,1327
168,4.63,1278
169,7.38,1276
170,4.74,1260
171,6.16,1219
172,4.77,1012
173,4.65,979
174,4.61,976
175,5.49,863
176,6.41,818
177,7.09,744
178,6.68,722
179,5.75,716
180,6.05,695
181,6.88,695
182,6.73,693
183,6.82,607
184,4.75,566
185,4.28,550
186,4.28,517
187,6.07,461
188,7.5,139300
189,8.42,124232
190,5.85,110811
191,6.93,99443
192,7.07,98761
193,6.85,93421
194,7.28,82285
195,7.4,81553
196,6.06,73372
197,4.63,72570
198,6.99,71884
199,7.27,71790
200,6.39,70085
201,7.36,55006
202,7.04,48675
203,5.29,48164
204,7.26,47501
205,6.46,45570
